,cdir_real,Global radiation.mean
835,149.3159722,114.8375
837,147.7193704,74.86111111
839,150.023037,83.89027778
841,151.2204815,77.32112676
843,151.1520556,30.2625
845,159.3859259,120.4291667
847,160.6974074,98.22916667
849,163.0352778,116.3138889
851,156.1927315,33.52916667
853,162.864213,99.34861111
855,157.9831944,49.17361111
857,160.9939352,94.85972222
859,173.3903519,136.7958333
861,166.4565741,31.1375
863,170.6875463,67.29166667
865,169.8892593,55.83802817
867,175.9677037,158.6069444
869,174.3711111,116.4208333
871,174.0860185,125.5097222
873,180.0162222,150.2888889
875,171.5884722,18.24583333
877,185.96925,110.0222222
879,196.9743519,157.2972222
881,196.7462778,158.0416667
883,193.6329167,151.7902778
885,188.4211667,151.6055556
887,196.5067778,159.6236111
889,197.7156481,156.2847222
891,194.1575093,104.2736111
893,196.3813426,25.87878788
895,203.9081481,101.8138889
897,195.5602315,89.92083333
899,200.8404167,78.21111111
901,198.685,84.40833333
903,205.4363148,147.7805556
905,206.3144444,163.0458333
907,207.3294444,
909,207.614537,89.81805556
911,219.0187963,210.8055556
913,223.4892593,200.9277778
915,216.8975926,249.128169
917,222.6339352,252.3277778
919,220.2390556,236.6861111
921,219.8512963,216.9319444
923,230.4458519,261.9125
925,235.2242593,
927,231.3125926,257.7138889
929,231.198537,252.6277778
931,224.4016204,219.5444444
933,224.3217593,235.5791667
935,226.3631481,249.7263889
937,232.5442593,178.1375
939,226.8421296,134.925
941,236.8550463,258.6647887
943,237.4138704,260.5638889
945,234.7452778,261.3222222
947,234.3118981,246.8152778
949,228.7352315,240.7236111
951,235.3040741,236.6
953,236.0567593,209.2388889
955,240.9606019,209.575
957,240.3219444,188.0208333
959,242.454537,201.4166667
961,238.5314815,185.6236111
963,235.497963,126.3041667
965,234.3347222,201.6140845
967,235.7602315,194.7541667
969,230.1835648,128.5541667
971,232.9775926,194.3847222
973,227.1158333,145.8180556
975,227.8570833,183.2055556
977,242.6027963,135.0402778
979,244.245,176.5277778
981,235.5891667,160.4458333
983,249.1146296,160.5055556
985,244.838037,202.6611111
987,243.1274074,173.1208333
989,241.9527593,172.1943662
991,241.918537,173.1277778
993,239.4324074,124.2694444
995,231.7801667,116.3388889
997,237.9156481,171.9902778
