,sp,out-hum,dew-pt,bar,dew2m,temp2m,humidity
254,99906.016,35,17.2,100230,15.70135,35.02712,31.607529937817603
255,99917.56,36,17.0,100190,16.2928,34.8175,33.20901202914441
256,99934.83,35,16.7,100120,16.92672,33.76315,36.668690750231356
257,99926.26,38,17.7,100090,17.32162,31.36593,43.04642459603855
258,99957.12,38,16.8,100070,17.31506,30.0282,46.45204829229218
259,100002.33,46,18.1,100100,17.69253,29.07882,50.25193490156566
260,100042.875,47,17.2,100110,18.27258,26.11593,61.99269835037072
261,100070.76,55,17.7,100150,18.38143,25.35006,65.32069969177736
262,100117.62,59,18.1,100190,18.75695,23.11236,76.48971700907695
263,100103.89,62,18.3,100180,18.8015,22.7861,78.23488905291542
264,100063.68,63,18.3,100280,18.93707,22.30688,81.23290702188352
265,99998.016,76,19.6,100220,18.93786,22.252,81.50892711932482
266,99926.94,75,18.9,100200,19.03893,21.45416,86.12307899398971
267,99903.93,82,18.8,100180,19.02114,21.47524,85.91641726844308
268,99872.82,86,18.5,100140,19.05483,21.65582,85.15042778184369
269,99821.19,87,18.3,100060,19.2357,22.77447,80.44147701580255
270,99797.0,88,18.6,100000,19.41912,23.35616,78.54973655520084
271,99754.62,81,19.2,99960,19.99822,24.7197,75.0182516197721
272,99689.26,67,20.1,99960,20.41134,27.8261,64.04807628568913
273,99616.76,62,20.0,99940,20.3846,29.1744,59.120000835777745
274,99464.805,52,19.7,99860,19.6891,31.49783,49.558957693616556
275,99399.82,49,19.1,99780,19.29016,31.97668,47.04704556611322
276,99267.7,48,19.4,99720,18.68453,32.6561,43.59318385527808
277,99299.25,42,19.1,99640,17.70858,33.96298,38.09944925378644
278,99167.07,39,18.6,99520,16.82504,34.12066,35.711982697929265
279,99008.44,56,20.5,99270,19.44897,28.86447,56.798403835183166
280,99006.36,57,21.3,99210,19.31222,28.08624,58.92475880999617
281,99005.555,64,21.1,99160,19.49874,27.90457,60.24844314047261
282,98995.43,70,21.2,99100,19.95233,26.08978,68.94870339322844
283,98980.06,75,21.3,99130,19.0589,23.84554,74.5720525054542
284,99144.5,89,16.0,99280,18.4072,19.4508,93.68800607934602
285,99182.38,87,15.6,99410,18.13738,18.36883,98.55703189493093
286,99241.93,87,14.7,99410,17.50213,18.1719,95.86829053164725
287,99278.82,79,13.4,99420,16.48864,17.48522,93.87611244639572
288,99314.74,74,13.8,99450,15.14956,16.68484,90.6504911713785
289,99351.81,71,13.7,99490,14.54858,16.40582,88.7676583272615
290,99364.7,75,14.9,99510,14.3276,16.39346,87.57703840777671
291,99391.99,67,14.2,99520,14.29196,17.2585,82.70588602514319
292,99416.805,65,14.5,99560,14.39034,18.1025,78.91906042812549
293,99457.88,61,14.1,99580,12.74874,21.69833,56.742961251505974
294,99427.7,51,12.9,99570,12.27194,22.8177,51.36915635726166
295,99381.69,47,12.0,99560,11.83346,23.65698,47.436633701389646
296,99360.82,50,12.2,99520,11.71453,24.1907,45.57829109511199
297,99366.875,48,12.1,99530,10.96093,24.89337,41.57180937050518
298,99336.63,48,12.4,99520,11.00375,24.86685,41.75634314821818
299,99312.82,51,13.1,99500,11.0992,24.4323,43.12885922877251
300,99316.33,68,15.2,99490,12.30834,23.32528,49.93379605380159
301,99326.88,84,15.1,99520,10.59683,23.41973,44.331683030474274
302,99360.63,89,14.7,99570,11.6415,21.76553,52.538903533136946
303,99420.68,89,14.4,99590,12.16424,19.16268,63.864732927183624
304,99439.805,79,13.8,99580,12.50472,18.53814,67.91058430903347
305,99447.195,89,13.7,99560,12.82043,15.34817,84.88074734967466
306,99441.89,90,13.5,99580,12.82488,15.10146,86.26264376771208
307,99401.74,88,13.7,99590,12.75244,15.10766,85.82003958102247
308,99435.93,86,12.7,99560,12.66064,15.17706,84.92526100826944
309,99428.38,77,11.3,99590,12.5543,14.97866,85.4185300691859
310,99431.8,84,12.1,99620,12.4135,14.98123,84.61845805584987
311,99457.195,71,11.5,99640,12.64437,15.22247,84.58739608975728
312,99432.945,68,11.8,99630,13.15392,16.6187,79.98736256220505
313,99454.805,61,12.3,99650,12.7602,17.5997,73.25626824620821
314,99462.695,54,11.4,99620,12.58703,18.80154,67.16183779982822
315,99421.49,52,11.9,99600,12.31997,21.34588,56.372410554109734
316,99424.19,48,12.0,99590,12.54345,22.35665,53.779599364930284
317,99407.89,50,14.2,99570,12.68368,23.74963,49.885811515360615
318,99386.56,45,12.9,99520,13.01293,24.40432,49.00638547250298
319,99330.3,45,13.7,99490,13.13223,25.3508,46.67497221487385
320,99292.016,45,13.3,99480,13.21746,25.63564,46.147216570318
321,99283.01,39,12.1,99410,12.89828,26.07708,44.02657811547054
322,99226.625,41,12.6,99380,12.91125,26.47637,43.0359892332491
323,99204.83,42,11.4,99400,12.51498,24.73242,46.51063315619241
324,99243.05,59,13.7,99410,13.3507,23.14398,54.0506113745997
325,99324.12,62,13.1,99460,13.95922,21.953,60.455714517347836
326,99416.74,67,11.6,99710,14.26058,19.59176,71.30185055574746
327,99510.445,87,13.1,99810,14.9239,16.43197,90.79216225125884
328,99549.695,88,13.4,99800,15.0899,16.25213,92.82551238073421
329,99670.13,89,13.3,99730,14.98376,15.51385,96.650712663292
330,99645.08,89,13.2,99750,14.8666,15.4441,96.35409653008797
