,Rainfall.mean,tcrw
122,0.0,0.000143543
123,0.0,1.49e-08
124,0.0,1.49e-08
125,0.0,1.49e-08
126,0.040277778,0.031244665
127,0.0,1.49e-08
128,0.0,1.49e-08
129,0.0,1.49e-08
130,0.0,1.49e-08
131,0.0,1.49e-08
132,0.0,1.49e-08
133,0.025,0.003928259
134,0.0,1.49e-08
135,0.0,0.000634581
136,0.0,1.49e-08
137,0.0,4.53e-05
138,0.109722222,1.51e-05
139,0.098611111,0.008732811
140,0.001388889,1.49e-08
141,0.0,1.49e-08
142,0.0,1.49e-08
143,0.0,1.49e-08
144,0.0,1.49e-08
145,0.0,1.49e-08
146,0.0,1.49e-08
147,0.0,1.49e-08
148,0.0,1.49e-08
149,0.0,1.49e-08
150,0.0,1.49e-08
151,0.0,1.49e-08
152,0.0,1.49e-08
153,0.011111111,0.002047241
154,0.005555556,0.003610984
155,0.0,1.49e-08
156,0.0,1.49e-08
157,0.0,0.000241756
158,0.0,1.49e-08
159,0.0,1.49e-08
160,0.0,1.49e-08
161,0.0,1.49e-08
162,0.0,1.49e-08
163,0.0,1.49e-08
164,0.0,1.49e-08
165,0.0,1.49e-08
166,0.0,1.49e-08
167,0.03943662,1.49e-08
168,0.0,0.000211537
169,0.0,1.49e-08
170,0.0,1.49e-08
171,0.0,0.000143543
172,0.0,1.49e-08
173,0.0,1.49e-08
174,0.0,1.49e-08
175,0.0,1.49e-08
176,0.0,1.49e-08
177,0.0,1.49e-08
178,0.0,1.49e-08
179,0.0,1.49e-08
180,0.0,1.49e-08
181,0.0,1.49e-08
182,0.0,1.49e-08
183,0.0,1.49e-08
184,0.0,1.49e-08
185,0.0,0.000929192
186,0.0,1.49e-08
187,0.0,0.001707286
188,0.015277778,1.49e-08
189,0.076388889,0.08199456
190,0.001388889,0.000770554
191,0.0,0.000309736
192,0.0,1.49e-08
193,0.0625,0.000823438
194,0.041666667,0.011407033
195,0.005555556,0.000158653
196,0.0,0.003399462
197,0.213888889,9.82e-05
198,0.001388889,1.49e-08
199,0.229166667,0.001571313
200,0.004166667,0.01476115
201,0.063888889,0.08269712
202,0.240277778,0.04594536
203,0.052777778,0.01680082
204,0.018055556,0.009518459
205,0.0,0.000725225
206,0.0,0.000460833
207,0.009722222,0.000271976
208,0.002777778,0.002681792
209,0.0,0.000339955
210,0.0,1.49e-08
211,0.0,1.49e-08
212,0.0,1.49e-08
213,0.0,1.49e-08
214,0.0,1.49e-08
215,0.0,0.001246482
216,0.0,1.49e-08
217,0.0,1.49e-08
218,0.0,1.49e-08
219,0.0,1.49e-08
220,0.0,1.49e-08
221,0.0,1.49e-08
222,0.0,1.49e-08
223,0.0,1.49e-08
224,0.029166667,1.49e-08
225,0.0,0.008287102
226,0.0,0.000264421
227,0.0,0.000634581
228,0.0,1.49e-08
229,0.0,1.49e-08
230,0.0,1.49e-08
231,0.0,1.49e-08
232,0.0375,0.10022314
233,0.077777778,0.002968863
234,0.015277778,0.000611916
235,0.0,0.005794168
236,0.0,0.001609087
237,0.073611111,0.05414936
