Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Ground temperature.mean,Air temperature.mean,Ground moisture.mean
09/03/2019 01:00,1.1625,0,127.6847222,116.5847222,71.23194444,7.879166667,651
09/03/2019 13:00,2.506944444,0,122.325,128.2958333,25.7375,13.78888889,196.0027778
10/03/2019 01:00,4.094444444,0,137.7305556,146.3375,53.24583333,14.12361111,469.0069444
10/03/2019 13:00,3.091666667,0,126,68.85138889,44.30972222,15.9,378.3736111
11/03/2019 01:00,2.283333333,0.002777778,101.4125,16.87083333,16.37083333,9.513888889,98.06111111
11/03/2019 13:00,3.786111111,0.011111111,114.9180556,25.98472222,17.07222222,4.315277778,106
12/03/2019 01:00,5.088888889,0.001388889,57.95416667,144.0569444,43.98194444,3.848611111,379.4416667
12/03/2019 13:00,3.081944444,0,68.48888889,95.65972222,7.327777778,5.319444444,16
13/03/2019 01:00,1.772222222,0,171.9597222,155.7375,25.22222222,2.025,197.9972222
13/03/2019 13:00,1.772222222,0,200.2625,114.0180556,24.97361111,8.075,197.9972222
14/03/2019 01:00,1.868055556,0,60.86111111,182.8944444,24.95555556,5.609722222,198.8625
14/03/2019 13:00,1.197222222,0,116.8222222,117.0361111,6.783333333,9.119444444,17
15/03/2019 01:00,2.054166667,0,147.8194444,182.4986111,34.20694444,7.631944444,289.9916667
15/03/2019 13:00,1.619444444,0,123.6388889,83.47083333,43.35416667,12.4,381.1611111
16/03/2019 01:00,2.754166667,0,147.6791667,108.0236111,16.39166667,12.45972222,108.9958333
16/03/2019 13:00,0.781944444,0,256.4138889,91.0375,34.825,10.87916667,290.9875
17/03/2019 01:00,1.9875,0,171.6402778,195.4875,35.00972222,10.1375,290.9875
17/03/2019 13:00,1.9375,0,122.9777778,157.9361111,7.879166667,18.26388889,18.075
18/03/2019 01:00,2.791666667,0,161.475,145.5152778,8.293055556,10.3,19
18/03/2019 13:00,7.001388889,0,63.4875,82.50972222,26.50833333,8.384722222,200.9888889
19/03/2019 01:00,2.688888889,0,63.18333333,53.69583333,8.268055556,5.631944444,19
19/03/2019 13:00,2.398611111,0,150.4194444,60.44305556,26.28055556,8.255555556,200.9888889
20/03/2019 01:00,2.441666667,0,63.19166667,54.24722222,7.951388889,4.894444444,19.9
20/03/2019 13:00,0.892537313,0,30.41791045,76.83880597,37.11044776,8.237313433,313.3507463
21/03/2019 01:00,1.322222222,0,63.47638889,200.5305556,25.93194444,4.952777778,201.9861111
21/03/2019 13:00,0.7,0,280.7277778,161.6722222,25.88611111,9.038888889,201.9722222
22/03/2019 01:00,0.569444444,0,232.7861111,202.4541667,44.14861111,3.95,384.8013889
