,u10,v10,d2m,t2m,cdir,skt,tcrw,T
121,0.97966284,-2.8262606,275.58374,284.3104,4903018,285.1646,0.005272284,02/03/2019 12:00
122,0.78256637,-0.49668926,275.6611,279.06253,0,275.24594,0.001836881,03/03/2019 00:00
123,1.3313009,1.7537307,277.02585,286.8235,5022420,288.55917,4.91E-05,03/03/2019 12:00
124,1.7139506,2.106195,272.35956,278.02765,0,277.18478,0,04/03/2019 00:00
125,3.0686445,3.8967576,272.78082,292.97162,5262230,293.68198,0,04/03/2019 12:00
126,3.4407847,-1.3892766,274.57272,282.48392,0,280.78653,0.025611207,05/03/2019 00:00
127,0.059649527,1.2267996,275.80103,287.06555,5242979.5,289.7898,9.82E-05,05/03/2019 12:00
128,1.9268975,1.3042785,275.43298,278.9557,0,277.3679,0,06/03/2019 00:00
129,-0.3795104,1.6691915,276.03503,288.45422,5271918,291.8553,0,06/03/2019 12:00
130,0.19592865,2.4512272,274.96097,280.5457,0,278.47598,0,07/03/2019 00:00
131,2.0781658,4.0407534,278.10977,293.11673,5358481,293.53192,0,07/03/2019 12:00
132,1.323548,2.2784324,276.03653,284.99826,0,281.00815,0,08/03/2019 00:00
133,2.9685457,0.5493696,279.79428,291.93365,5274560,292.9462,0.008055642,08/03/2019 12:00
134,2.2785356,-0.59795076,279.18777,283.17673,0,279.38107,0.000238374,09/03/2019 00:00
135,1.7401382,3.0926118,278.96115,289.888,5380499,292.30475,0.000308484,09/03/2019 12:00
136,5.8534937,1.0725847,274.0155,284.11774,0,282.59668,0,10/03/2019 00:00
137,4.1175284,2.9798307,275.56946,291.54156,5541924,292.472,4.91E-05,10/03/2019 12:00
138,2.3898332,0.45646918,278.29257,285.15076,0,281.0749,9.82E-05,11/03/2019 00:00
139,-0.798685,2.2200909,272.55862,280.49936,5578915,280.96753,0.003631696,11/03/2019 12:00
140,2.8310604,-2.1369393,274.015,275.5658,0,275.56805,1.40E-05,12/03/2019 00:00
141,0.09841413,-4.455177,272.42706,281.50214,5710143.5,285.23413,0.00016126,12/03/2019 12:00
142,1.2637643,1.4986261,269.18268,271.5998,0,271.94153,0,13/03/2019 00:00
143,-0.34918785,2.000846,268.9984,284.65802,5901891,286.7139,0,13/03/2019 12:00
144,0.3759687,-1.2164818,272.8547,277.96774,0,275.44623,0,14/03/2019 00:00
145,2.0395734,-1.0438728,272.86703,285.22177,5869681,289.20062,3.51E-05,14/03/2019 12:00
146,0.6187213,3.5322165,271.32147,279.11993,0,278.12085,0,15/03/2019 00:00
147,2.504921,-2.61965,272.53052,287.59595,5868171.5,290.76645,0,15/03/2019 12:00
148,2.0933268,1.4726142,272.60245,283.0557,0,280.07828,0.000616968,16/03/2019 00:00
149,-1.2678229,-0.8630886,277.71808,287.4144,5729771,290.33286,0.000133216,16/03/2019 12:00
150,0.71416837,1.6619452,276.29666,279.2552,0,277.9481,0,17/03/2019 00:00
151,2.881024,2.7039165,278.095,295.3946,6013995,298.13165,0,17/03/2019 12:00
152,3.3499894,0.54453874,278.44333,283.99857,0,282.16306,0,18/03/2019 00:00
153,0.39664316,-4.958883,276.64697,286.08932,5795196.5,285.12677,0.0033793,18/03/2019 12:00
154,0.8802532,-1.4310818,274.57324,279.41943,0,277.32657,0.001360133,19/03/2019 00:00
155,-0.4113835,-2.9199042,273.26514,281.37125,5918624.5,281.85196,0.002783373,19/03/2019 12:00
156,0.8165069,-1.4009821,272.9158,278.43024,0,277.28046,0.000329524,20/03/2019 00:00
157,-1.5141935,-2.233184,272.43298,283.54474,6087095.5,285.26993,0.000666052,20/03/2019 12:00
158,-0.5499024,-1.980495,270.78885,277.65778,0,277.06296,0,21/03/2019 00:00
159,-1.7450583,-1.084749,270.32327,286.64627,6286392,291.44095,0,21/03/2019 12:00
160,-0.42137617,-1.7309644,269.8138,276.07953,0,274.4902,0,22/03/2019 00:00
161,-0.48770672,-1.2333897,271.34067,289.5879,6336719,293.82443,0,22/03/2019 12:00
162,-0.084037945,-1.2764955,272.46402,278.57657,0,276.19507,0,23/03/2019 00:00
163,-1.0309281,-1.7789011,277.3998,291.34955,6248646,295.31525,0,23/03/2019 12:00
164,0.96553534,-0.8721928,275.44528,279.23108,0,277.3094,0,24/03/2019 00:00
165,0.45746052,1.0736996,276.56766,293.56686,6405793.5,297.6767,0,24/03/2019 12:00
166,1.5421803,-0.030514896,274.03027,281.17056,0,277.7953,0,25/03/2019 00:00
167,-2.1935215,-4.2968745,277.46286,290.33258,6302371,292.38046,0.000455722,25/03/2019 12:00
168,3.0565844,-1.9221535,275.30487,279.29037,0,277.53857,0.000553876,26/03/2019 00:00
169,-0.25529134,-3.3548641,271.83878,283.89484,6495754,285.27267,0.00135313,26/03/2019 12:00
170,1.2799593,-1.7045807,270.87213,275.5559,0,276.2749,0,27/03/2019 00:00
171,-0.95305425,-3.1246567,271.7629,284.2789,6521546.5,285.7634,0.000988558,27/03/2019 12:00
172,0.3788976,-1.8556368,271.30618,275.3861,0,274.9121,0,28/03/2019 00:00
