,Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Air temperature.mean,Ground moisture.mean,Air moisture.mean,u10,v10,d2m,t2m,cdir,tcrw
57,29/01/2019 13:00,0.016666667,0.034722222,4.820833333,27.40694444,0.647222222,3,95.95972222,-1.1134859,-0.72715235,274.03067,275.2341,990473.7,0.000604361
58,30/01/2019 01:00,0.025,0.029166667,200.8430556,45.5875,0.129166667,3,97.94583333,-0.72529805,-0.5812315,273.8368,274.15628,0,1.49E-08
59,30/01/2019 13:00,0.180555556,0.030555556,338.375,54.75138889,-0.095833333,3,92.47222222,-0.44355214,0.87076426,273.01764,275.35855,1052772.2,1.49E-08
60,31/01/2019 01:00,0.047222222,0,337.1055556,16.81111111,-0.594444444,3,98.14722222,-1.839265,-0.999205,272.92575,273.68686,0,1.49E-08
61,31/01/2019 13:00,0.058333333,0.008333333,261.6126761,23.55277778,0.405555556,3,95.67222222,-1.24953,0.5545099,273.23486,274.43964,1032175.75,1.49E-08
62,01/02/2019 01:00,0.038888889,0.008333333,41.65416667,64.41944444,0.729166667,3,95.95972222,-1.8995191,0.8125069,271.80664,272.35107,0,1.49E-08
63,01/02/2019 13:00,0.222222222,0.015277778,152.1319444,61.40277778,4.211111111,3,89.42777778,-2.157331,1.5164039,276.08722,282.63196,1037892.7,0.000188872
64,02/02/2019 01:00,0.544444444,0.001388889,42.97083333,50.83472222,5.254166667,3,92.62916667,-0.3005798,3.5737214,278.1001,281.97705,0,1.49E-08
65,02/02/2019 13:00,1.108333333,0,136.9347222,62.10833333,10.47916667,3,79.52222222,-0.7313864,3.8124843,279.69327,289.3266,1045763.25,1.49E-08
66,03/02/2019 01:00,0.794444444,0.047222222,115.0055556,10.74305556,5.761111111,3,91.01388889,-3.924436,1.5038276,277.81335,283.2162,0,1.49E-08
67,03/02/2019 13:00,0.447222222,0.020833333,169.5027778,32.32957746,5.234722222,2.290277778,95.23055556,-0.20064604,1.4908817,278.9741,282.4634,1076775.5,0.04227397
68,04/02/2019 01:00,1.266666667,0,187.7083333,50.65,3.845833333,2,79.77222222,-0.77988374,-2.9982653,274.6443,277.31662,0,0.000226647
69,04/02/2019 13:00,1.041666667,0,297.5958333,58.20555556,4.345833333,2,69.86944444,-1.284171,-3.0075126,272.40198,278.53217,1103950.4,1.49E-08
70,05/02/2019 01:00,0.075,0,294.4402778,27.21111111,2.241666667,2,86.03472222,-0.6898173,-1.3433859,272.58368,275.27637,0,1.49E-08
71,05/02/2019 13:00,0.152777778,0,257.725,18.04027778,2.852777778,2,89.08194444,-1.1907455,-1.5830734,273.89413,276.01105,1056648.9,0.000392839
72,06/02/2019 01:00,0.308333333,0,215.0888889,81.49444444,3.5375,2,85.64166667,0.23582911,-1.3202679,274.60266,275.1471,0,0.000460833
73,06/02/2019 13:00,0.902777778,0,303.6138889,119.7902778,2.591666667,2,76.54305556,0.21042573,-2.426788,271.96548,279.60876,1175372.5,1.49E-08
74,07/02/2019 01:00,0.275,0,297.8416667,122.8361111,-0.766666667,2,89.82916667,-1.1428782,-0.71993953,270.67432,271.79886,0,1.49E-08
75,07/02/2019 13:00,0.677777778,0,277.1083333,117.6569444,2.176056338,2,80.225,-3.0162153,0.5378649,271.3382,278.82034,1219110.9,1.49E-08
76,08/02/2019 01:00,0.172222222,0.001388889,52.80833333,59.75555556,-3.197222222,2,96.5875,0.18817163,-1.3570718,270.81592,271.22916,0,1.49E-08
77,08/02/2019 13:00,0.272222222,0,237.8069444,58.76805556,1.726388889,2.925,93.17638889,0.004889846,-0.98847824,273.9464,276.68707,1174667.8,1.49E-08
78,09/02/2019 01:00,0.391666667,0,68.85277778,44.56666667,-0.201388889,2.959722222,98.44583333,-0.59177315,0.4496466,272.15634,272.48218,0,1.49E-08
79,09/02/2019 13:00,0.408333333,0,203.1402778,104.3236111,2.084722222,2.893055556,91.26805556,-0.38749683,0.911082,273.748,277.58667,1209204.1,1.49E-08
80,10/02/2019 01:00,0.055555556,0.001388889,75.01527778,49.54166667,-0.440277778,2.923611111,96.54027778,0.33513296,-0.007719994,272.62885,274.34537,0,1.49E-08
81,10/02/2019 13:00,1.25,0,178.6611111,56.49583333,8.545833333,3,71.85211268,-0.081397414,1.9926348,275.54922,282.71292,1197300.4,1.49E-08
82,11/02/2019 01:00,1.180555556,0.154166667,109.4194444,9.063888889,5.905555556,2.820833333,85.44444444,0.3861496,2.8733382,275.94003,280.6769,0,1.49E-08
83,11/02/2019 13:00,2.372222222,0.001388889,68.74861111,24.99444444,4.5375,2,82.47638889,2.5859509,-0.9864439,275.47818,276.90155,1197496.2,0.002447605
84,12/02/2019 01:00,4.797222222,0,92.57083333,106.3236111,4.644444444,2,63.23888889,1.843796,-3.452488,272.908,277.01938,0,1.49E-08
85,12/02/2019 13:00,4.566666667,0,129.2847222,70.38888889,4.261111111,2,59.38888889,0.10734296,-7.1191883,268.8568,279.45834,1285246.9,1.49E-08
86,13/02/2019 01:00,2.672222222,0,142.2056338,125.0347222,2.745833333,2,65.74722222,0.7837849,-3.4064367,269.73993,273.85602,0,1.49E-08
87,13/02/2019 13:00,0.891666667,0,120.5263889,76.95555556,3.305555556,2,75.73055556,-1.8174306,-3.7872365,269.46335,279.5254,1281801,3.02E-05
88,14/02/2019 01:00,0.997222222,0,50.64722222,58.08888889,2.461111111,2,83.47083333,2.428702,-0.075039625,272.85266,275.14285,0,1.49E-08
89,14/02/2019 13:00,2.283333333,0,109.1666667,90.2375,8.509722222,2,70.94722222,1.5156524,-3.7204716,274.68893,282.4924,1276671.5,0.000241756
90,15/02/2019 01:00,0.633333333,0,238.3180556,41.81830986,5.494444444,2,82.39166667,1.1921275,-1.6997731,275.08026,276.82846,0,1.49E-08
91,15/02/2019 13:00,0.719444444,0,296.425,66.27777778,5.248611111,2,77.52916667,-2.4705687,-2.9505496,273.39728,282.0411,1289280,0.000241756
92,16/02/2019 01:00,0.247222222,0.001388889,92.36527778,135.9861111,0.279166667,2,89.29027778,0.71555287,-0.9189393,271.66605,273.59622,0,1.49E-08
93,16/02/2019 13:00,0.580555556,0,117.7597222,134.7833333,5.580555556,2,71.35972222,0.3254755,0.24417377,272.3644,283.9303,1339440,1.49E-08
94,17/02/2019 01:00,0.272222222,0,76.93055556,146.0916667,0.405555556,2,87.31944444,0.28789538,-0.252401,271.41684,275.5144,0,1.49E-08
95,17/02/2019 13:00,0.444444444,0,267.6930556,139.7472222,6.995833333,2,67.94583333,-0.6446792,0.20089686,270.96716,286.04846,1372958.2,1.49E-08
96,18/02/2019 01:00,0.183333333,0.001388889,75.62361111,145.0694444,1.059722222,2,86.09722222,-0.028071404,-0.22373462,271.426,276.3119,0,1.49E-08
97,18/02/2019 13:00,0.447222222,0,286.2375,138.9805556,8.209722222,2,62.71944444,-1.0826241,0.3423791,272.28677,287.49118,1397392.1,1.49E-08
98,19/02/2019 01:00,0.255555556,0,242.7180556,145.5291667,1.859722222,2,85.14861111,-0.015474796,-0.0839169,273.70483,277.7371,0,1.49E-08
99,19/02/2019 13:00,1.375,0,57.95555556,143.6069444,9.988732394,2,56.05694444,1.5324479,-0.001986742,272.96332,288.7466,1419789.9,1.49E-08
100,20/02/2019 01:00,0.477777778,0,60.67083333,139.3611111,2.25,2,81.49305556,1.8309894,-0.99513626,271.85028,274.39673,0,1.49E-08
101,20/02/2019 13:00,0.508333333,0,265.5722222,109.1208333,8.759722222,2,65.95277778,-0.5382372,-1.6566811,274.50674,287.0447,1390578.9,1.49E-08
102,21/02/2019 01:00,0.280555556,0,258.2111111,139.1583333,2.133333333,2,84.95,-0.6121378,-1.26386,273.09427,277.67184,0,1.49E-08
103,21/02/2019 13:00,0.869444444,0,122.075,136.6166667,8.4125,2,66.34166667,1.3281717,0.18998516,274.6184,286.92084,1386428.2,1.49E-08
104,22/02/2019 01:00,0.816666667,0.001388889,85.85138889,25.60416667,5.273611111,2.097222222,86.42777778,1.8347684,0.41191804,275.265,279.04086,0,0.01196605
105,22/02/2019 13:00,4.097222222,0.004166667,183.9777778,40.33055556,6.227777778,2,71.40140845,1.8773872,-5.050959,279.40295,282.10394,1336777.2,0.003308803
106,23/02/2019 01:00,3.627777778,0,291.1736111,162.9013889,-1.852777778,2,49.87916667,-3.1675854,-3.1022038,261.6853,271.67984,0,1.49E-08
107,23/02/2019 13:00,1.583333333,0,301.2069444,153.8736111,-1.569444444,2,57.46111111,-3.2398062,-4.095168,261.98425,274.54172,1526257.5,1.49E-08
108,24/02/2019 01:00,0.413888889,0,148.5666667,155.2972222,-5.111111111,2,77.13194444,-1.1840273,-1.5475641,263.5302,268.43918,0,1.49E-08
109,24/02/2019 13:00,0.758333333,0,261.5777778,144.1,1.380555556,2.908333333,53.65972222,-1.6190327,-1.8216512,262.44815,276.47925,1498691.1,1.49E-08
110,25/02/2019 01:00,0.286111111,0,277.1084507,68.21527778,0.0875,3.155555556,68.92638889,0.3953871,-0.24999666,266.9972,272.84283,0,1.49E-08
111,25/02/2019 13:00,0.820833333,0,177.1486111,117.0319444,2.440277778,6.918055556,63.33333333,-2.6345358,-0.90414375,266.08566,279.21243,1506953.1,1.49E-08
112,26/02/2019 01:00,1.152777778,0,70.03055556,53.06666667,2.726388889,7.341666667,71.16388889,2.243321,-0.031947613,267.78693,273.77808,0,1.49E-08
113,26/02/2019 13:00,2.877777778,0,77.90833333,95.48611111,12.67916667,8,46.51388889,2.847332,-3.1099715,272.94202,287.42953,1490468.1,1.49E-08
114,27/02/2019 01:00,2.144444444,0,120.2319444,152.1125,7.163888889,8,67.04027778,0.6953982,-2.76727,272.75626,278.55814,0,1.49E-08
115,27/02/2019 13:00,0.922222222,0,119.6736111,151.5647887,6.904166667,8,64.74861111,-0.46706593,-2.8671398,272.96637,285.31985,1524064.8,1.49E-08
116,28/02/2019 01:00,0.472222222,0,56.82222222,173.4944444,2.473611111,8.848611111,78.50138889,2.1708899,0.32924807,270.34137,273.90073,0,1.49E-08
117,28/02/2019 13:00,1.527777778,0,85.52222222,163.7472222,14.43055556,9,37.54027778,3.1725364,1.18258,270.71237,292.25552,1584405.5,1.49E-08
118,01/03/2019 01:00,0.436111111,0,36.55138889,71.65138889,5.593055556,9.001388889,65.17361111,2.4774094,-0.51890534,270.42816,280.50653,0,1.49E-08
119,01/03/2019 13:00,0.75,0,211.6430556,103.9597222,12.54444444,9.919444444,55.93333333,0.17809427,-0.35245574,272.90494,290.5192,1551866.1,0.000241756
120,02/03/2019 01:00,0.738888889,0.011111111,64.79166667,58.84444444,7.181944444,10,77.99722222,0.99393964,-1.184334,275.97302,279.58945,0,7.56E-05
121,02/03/2019 13:00,0.522222222,0,271.8208333,102.7875,7.997222222,10,79.83888889,0.05212748,-1.5159386,277.1089,283.84933,1521128,0.000506148
122,03/03/2019 01:00,0.377777778,0,237.8708333,150.8083333,4.752777778,10.96944444,87.19166667,-0.38077867,0.4502015,275.86795,279.9918,0,0.000143543
123,03/03/2019 13:00,0.933333333,0,204.9527778,119.3930556,9.9,11,60.56805556,2.0774646,0.7302067,273.4348,290.0715,1583465.8,1.49E-08
124,04/03/2019 01:00,1.202777778,0,131.9277778,154.5361111,4.955555556,11,75.29444444,2.0426137,1.1089721,273.44904,277.58908,0,1.49E-08
125,04/03/2019 13:00,2.883333333,0,98.82222222,143.0333333,15.36111111,11.75138889,40.32361111,3.592846,3.3763862,271.90103,293.2681,1660604.9,1.49E-08
126,05/03/2019 01:00,1.352777778,0.040277778,120.8097222,133.4055556,6.683333333,12,85.62222222,1.2133319,-3.7498777,276.14203,281.00375,0,0.031244665
127,05/03/2019 13:00,0.902777778,0,176.3722222,136.0541667,8.856944444,12,64.33194444,-1.051762,1.1119313,276.07657,286.91965,1629279.4,1.49E-08
128,06/03/2019 01:00,0.697222222,0,143.3236111,176.9555556,4.302777778,12.07777778,83.77042254,2.452426,0.342564,275.1574,277.74918,0,1.49E-08
129,06/03/2019 13:00,0.863888889,0,239.7166667,170.9486111,11.18333333,12.17916667,61.78333333,-0.3824582,1.9288292,276.36737,289.4746,1655044.5,1.49E-08
130,07/03/2019 01:00,0.816666667,0,152.0708333,83.12361111,5.858333333,13,84.18055556,-0.15025926,2.2606187,274.68185,280.40262,0,1.49E-08
131,07/03/2019 13:00,3.552777778,0,132.5361111,129.9555556,18.82916667,13,41.46388889,1.163575,3.9550762,277.10077,294.97302,1663776.5,1.49E-08
132,08/03/2019 01:00,1.055555556,0,93.21111111,140.5722222,10.08194444,13,71.61805556,1.3363595,2.0092797,275.09396,285.70953,0,1.49E-08
133,08/03/2019 13:00,1.147222222,0.025,60.48055556,45.75972222,12.05277778,13,76.12361111,3.2411885,0.9060886,278.8279,291.42844,1629475.1,0.003928259
134,09/03/2019 01:00,0.533333333,0,87.92083333,155.6736111,6.641666667,13.32916667,82.37638889,1.3735198,-1.3341386,277.38702,281.31973,0,1.49E-08
