longitude,latitude,time,u10,v10,d2m,t2m,cdir,tcrw,T
17.56999969,45.34999847,08/02/2019 13:00,0.004889846,-0.98847824,273.9464,276.68707,1174667.8,1.49E-08,08/02/2019 13:00
17.56999969,45.34999847,09/02/2019 01:00,-0.59177315,0.4496466,272.15634,272.48218,0,1.49E-08,09/02/2019 01:00
17.56999969,45.34999847,09/02/2019 13:00,-0.38749683,0.911082,273.748,277.58667,1209204.1,1.49E-08,09/02/2019 13:00
17.56999969,45.34999847,10/02/2019 01:00,0.33513296,-0.007719994,272.62885,274.34537,0,1.49E-08,10/02/2019 01:00
17.56999969,45.34999847,10/02/2019 13:00,-0.081397414,1.9926348,275.54922,282.71292,1197300.4,1.49E-08,10/02/2019 13:00
17.56999969,45.34999847,11/02/2019 01:00,0.3861496,2.8733382,275.94003,280.6769,0,1.49E-08,11/02/2019 01:00
17.56999969,45.34999847,11/02/2019 13:00,2.5859509,-0.9864439,275.47818,276.90155,1197496.2,0.002447605,11/02/2019 13:00
17.56999969,45.34999847,12/02/2019 01:00,1.843796,-3.452488,272.908,277.01938,0,1.49E-08,12/02/2019 01:00
17.56999969,45.34999847,12/02/2019 13:00,0.10734296,-7.1191883,268.8568,279.45834,1285246.9,1.49E-08,12/02/2019 13:00
17.56999969,45.34999847,13/02/2019 01:00,0.7837849,-3.4064367,269.73993,273.85602,0,1.49E-08,13/02/2019 01:00
17.56999969,45.34999847,13/02/2019 13:00,-1.8174306,-3.7872365,269.46335,279.5254,1281801,3.02E-05,13/02/2019 13:00
17.56999969,45.34999847,14/02/2019 01:00,2.428702,-0.075039625,272.85266,275.14285,0,1.49E-08,14/02/2019 01:00
17.56999969,45.34999847,14/02/2019 13:00,1.5156524,-3.7204716,274.68893,282.4924,1276671.5,0.000241756,14/02/2019 13:00
17.56999969,45.34999847,15/02/2019 01:00,1.1921275,-1.6997731,275.08026,276.82846,0,1.49E-08,15/02/2019 01:00
17.56999969,45.34999847,15/02/2019 13:00,-2.4705687,-2.9505496,273.39728,282.0411,1289280,0.000241756,15/02/2019 13:00
17.56999969,45.34999847,16/02/2019 01:00,0.71555287,-0.9189393,271.66605,273.59622,0,1.49E-08,16/02/2019 01:00
17.56999969,45.34999847,16/02/2019 13:00,0.3254755,0.24417377,272.3644,283.9303,1339440,1.49E-08,16/02/2019 13:00
17.56999969,45.34999847,17/02/2019 01:00,0.28789538,-0.252401,271.41684,275.5144,0,1.49E-08,17/02/2019 01:00
17.56999969,45.34999847,17/02/2019 13:00,-0.6446792,0.20089686,270.96716,286.04846,1372958.2,1.49E-08,17/02/2019 13:00
17.56999969,45.34999847,18/02/2019 01:00,-0.028071404,-0.22373462,271.426,276.3119,0,1.49E-08,18/02/2019 01:00
17.56999969,45.34999847,18/02/2019 13:00,-1.0826241,0.3423791,272.28677,287.49118,1397392.1,1.49E-08,18/02/2019 13:00
17.56999969,45.34999847,19/02/2019 01:00,-0.015474796,-0.0839169,273.70483,277.7371,0,1.49E-08,19/02/2019 01:00
17.56999969,45.34999847,19/02/2019 13:00,1.5324479,-0.001986742,272.96332,288.7466,1419789.9,1.49E-08,19/02/2019 13:00
17.56999969,45.34999847,20/02/2019 01:00,1.8309894,-0.99513626,271.85028,274.39673,0,1.49E-08,20/02/2019 01:00
17.56999969,45.34999847,20/02/2019 13:00,-0.5382372,-1.6566811,274.50674,287.0447,1390578.9,1.49E-08,20/02/2019 13:00
17.56999969,45.34999847,21/02/2019 01:00,-0.6121378,-1.26386,273.09427,277.67184,0,1.49E-08,21/02/2019 01:00
17.56999969,45.34999847,21/02/2019 13:00,1.3281717,0.18998516,274.6184,286.92084,1386428.2,1.49E-08,21/02/2019 13:00
17.56999969,45.34999847,22/02/2019 01:00,1.8347684,0.41191804,275.265,279.04086,0,0.01196605,22/02/2019 01:00
17.56999969,45.34999847,22/02/2019 13:00,1.8773872,-5.050959,279.40295,282.10394,1336777.2,0.003308803,22/02/2019 13:00
17.56999969,45.34999847,23/02/2019 01:00,-3.1675854,-3.1022038,261.6853,271.67984,0,1.49E-08,23/02/2019 01:00
17.56999969,45.34999847,23/02/2019 13:00,-3.2398062,-4.095168,261.98425,274.54172,1526257.5,1.49E-08,23/02/2019 13:00
17.56999969,45.34999847,24/02/2019 01:00,-1.1840273,-1.5475641,263.5302,268.43918,0,1.49E-08,24/02/2019 01:00
17.56999969,45.34999847,24/02/2019 13:00,-1.6190327,-1.8216512,262.44815,276.47925,1498691.1,1.49E-08,24/02/2019 13:00
17.56999969,45.34999847,25/02/2019 01:00,0.3953871,-0.24999666,266.9972,272.84283,0,1.49E-08,25/02/2019 01:00
17.56999969,45.34999847,25/02/2019 13:00,-2.6345358,-0.90414375,266.08566,279.21243,1506953.1,1.49E-08,25/02/2019 13:00
17.56999969,45.34999847,26/02/2019 01:00,2.243321,-0.031947613,267.78693,273.77808,0,1.49E-08,26/02/2019 01:00
17.56999969,45.34999847,26/02/2019 13:00,2.847332,-3.1099715,272.94202,287.42953,1490468.1,1.49E-08,26/02/2019 13:00
17.56999969,45.34999847,27/02/2019 01:00,0.6953982,-2.76727,272.75626,278.55814,0,1.49E-08,27/02/2019 01:00
17.56999969,45.34999847,27/02/2019 13:00,-0.46706593,-2.8671398,272.96637,285.31985,1524064.8,1.49E-08,27/02/2019 13:00
17.56999969,45.34999847,28/02/2019 01:00,2.1708899,0.32924807,270.34137,273.90073,0,1.49E-08,28/02/2019 01:00
17.56999969,45.34999847,28/02/2019 13:00,3.1725364,1.18258,270.71237,292.25552,1584405.5,1.49E-08,28/02/2019 13:00
17.56999969,45.34999847,01/03/2019 01:00,2.4774094,-0.51890534,270.42816,280.50653,0,1.49E-08,01/03/2019 01:00
17.56999969,45.34999847,01/03/2019 13:00,0.17809427,-0.35245574,272.90494,290.5192,1551866.1,0.000241756,01/03/2019 13:00
17.56999969,45.34999847,02/03/2019 01:00,0.99393964,-1.184334,275.97302,279.58945,0,7.56E-05,02/03/2019 01:00
17.56999969,45.34999847,02/03/2019 13:00,0.05212748,-1.5159386,277.1089,283.84933,1521128,0.000506148,02/03/2019 13:00
17.56999969,45.34999847,03/03/2019 01:00,-0.38077867,0.4502015,275.86795,279.9918,0,0.000143543,03/03/2019 01:00
17.56999969,45.34999847,03/03/2019 13:00,2.0774646,0.7302067,273.4348,290.0715,1583465.8,1.49E-08,03/03/2019 13:00
17.56999969,45.34999847,04/03/2019 01:00,2.0426137,1.1089721,273.44904,277.58908,0,1.49E-08,04/03/2019 01:00
17.56999969,45.34999847,04/03/2019 13:00,3.592846,3.3763862,271.90103,293.2681,1660604.9,1.49E-08,04/03/2019 13:00
17.56999969,45.34999847,05/03/2019 01:00,1.2133319,-3.7498777,276.14203,281.00375,0,0.031244665,05/03/2019 01:00
17.56999969,45.34999847,05/03/2019 13:00,-1.051762,1.1119313,276.07657,286.91965,1629279.4,1.49E-08,05/03/2019 13:00
17.56999969,45.34999847,06/03/2019 01:00,2.452426,0.342564,275.1574,277.74918,0,1.49E-08,06/03/2019 01:00
17.56999969,45.34999847,06/03/2019 13:00,-0.3824582,1.9288292,276.36737,289.4746,1655044.5,1.49E-08,06/03/2019 13:00
17.56999969,45.34999847,07/03/2019 01:00,-0.15025926,2.2606187,274.68185,280.40262,0,1.49E-08,07/03/2019 01:00
17.56999969,45.34999847,07/03/2019 13:00,1.163575,3.9550762,277.10077,294.97302,1663776.5,1.49E-08,07/03/2019 13:00
17.56999969,45.34999847,08/03/2019 01:00,1.3363595,2.0092797,275.09396,285.70953,0,1.49E-08,08/03/2019 01:00
17.56999969,45.34999847,08/03/2019 13:00,3.2411885,0.9060886,278.8279,291.42844,1629475.1,0.003928259,08/03/2019 13:00
17.56999969,45.34999847,09/03/2019 01:00,1.3735198,-1.3341386,277.38702,281.31973,0,1.49E-08,09/03/2019 01:00
17.56999969,45.34999847,09/03/2019 13:00,3.2959838,1.5994437,277.67834,290.3905,1698626.2,0.000634581,09/03/2019 13:00
17.56999969,45.34999847,10/03/2019 01:00,3.7985916,1.0059583,274.6651,283.25543,0,1.49E-08,10/03/2019 01:00
17.56999969,45.34999847,10/03/2019 13:00,5.4267135,1.9378912,274.83716,291.75107,1694514.8,4.53E-05,10/03/2019 13:00
17.56999969,45.34999847,11/03/2019 01:00,2.7961054,0.6908138,278.4909,284.21848,0,1.51E-05,11/03/2019 01:00
17.56999969,45.34999847,11/03/2019 13:00,-0.7040936,3.2363834,274.6443,278.90857,1745105.5,0.008732811,11/03/2019 13:00
17.56999969,45.34999847,12/03/2019 01:00,1.8473651,-1.667038,274.57373,274.93564,0,1.49E-08,12/03/2019 01:00
17.56999969,45.34999847,12/03/2019 13:00,-1.3072649,-4.4918733,271.6417,281.79944,1804623.9,1.49E-08,12/03/2019 13:00
17.56999969,45.34999847,13/03/2019 01:00,-0.031850457,2.0164926,268.88574,271.73483,0,1.49E-08,13/03/2019 01:00
17.56999969,45.34999847,13/03/2019 13:00,-0.77043617,0.47479904,268.128,283.19263,1818837.9,1.49E-08,13/03/2019 13:00
17.56999969,45.34999847,14/03/2019 01:00,0.7970115,-1.0702236,272.2208,276.9082,0,1.49E-08,14/03/2019 01:00
17.56999969,45.34999847,14/03/2019 13:00,1.798028,-0.82702214,272.85876,285.5609,1822949.4,1.49E-08,14/03/2019 13:00
17.56999969,45.34999847,15/03/2019 01:00,1.8805363,1.9304936,272.31317,277.08643,0,1.49E-08,15/03/2019 01:00
17.56999969,45.34999847,15/03/2019 13:00,2.2718735,-2.8027792,270.49515,288.37866,1848675.5,1.49E-08,15/03/2019 13:00
17.56999969,45.34999847,16/03/2019 01:00,2.676017,0.74056363,274.15704,283.105,0,1.49E-08,16/03/2019 01:00
