,u10,v10,wind-speed,wind-dir
262,-0.06901407,-1.6380168,0.0,WNW
263,-0.89010584,-1.5129297,0.0,NW
264,0.30229193,-0.8586091,1.6,NW
265,0.016724586,-0.69056153,0.0,NW
266,-0.20145708,-0.7491884,0.0,NW
267,0.30955094,-0.43989778,0.0,WNW
268,0.618128,0.40756118,0.0,SE
269,0.64497274,0.20646715,0.0,---
270,0.000152111,-0.05251944,0.0,SE
271,-0.6609671,0.12911391,0.0,SE
272,-1.4726084,0.5112294,0.0,SW
273,-1.8880165,0.9669038,0.0,SW
274,-2.312738,0.4243294,0.0,SW
275,-1.9733443,0.6510037,1.6,SE
276,-1.3109924,0.8901626,3.2,SE
277,1.7677934,1.3490192,4.8,SE
278,-0.6165912,-0.99434453,4.8,SE
279,-2.4055986,-1.5086459,4.8,ESE
280,-0.88901013,-0.31872725,0.0,E
281,0.8182307,0.7578541,0.0,E
282,1.1061263,0.04539609,0.0,E
283,1.4886634,-1.4604225,0.0,E
284,2.0284336,-4.501924,1.6,NW
285,1.2624009,-4.6473284,3.2,NW
286,1.0806513,-3.288261,3.2,NW
287,1.4440136,-2.5259883,3.2,NW
288,1.729718,-2.569316,3.2,NW
289,2.0980108,-2.3351755,3.2,NW
290,2.4880807,-2.0275984,1.6,NW
291,2.3880978,-2.3727505,3.2,NW
292,2.4117923,-2.4091017,3.2,NW
293,2.133758,-2.4590387,1.6,NW
294,2.5245128,-1.7888068,3.2,NW
295,2.5797088,-1.9938174,3.2,NW
296,1.8649001,-2.1414251,1.6,NW
297,1.585907,-1.6396079,1.6,NW
298,1.2151487,-1.7081488,1.6,NW
299,0.76659566,-1.5738821,0.0,NW
300,0.10629821,-1.4864925,0.0,NW
301,-0.5954989,-1.1052339,0.0,---
302,-1.3178406,-0.6198176,0.0,---
303,-1.7151694,-0.4411217,0.0,---
304,-2.0596309,-0.68578815,0.0,E
305,-1.2421001,-0.91845995,0.0,E
306,-1.2263494,-0.68946004,0.0,NE
307,-1.2305952,-0.7072072,0.0,E
308,-0.9496846,-0.7474749,0.0,E
309,-1.0528176,-1.1483166,0.0,E
310,-1.2603161,-1.4614017,0.0,E
311,-1.6154606,-1.3473301,0.0,E
312,-2.179747,-0.9362072,1.6,E
313,-2.6080296,-0.67599666,3.2,E
314,-2.8767505,-0.094867826,6.4,E
315,-2.846345,0.8474468,4.8,E
316,-2.3590314,1.1151234,3.2,ESE
317,-2.191389,2.2223034,3.2,SE
