,Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Air temperature.mean,Ground moisture.mean,Air moisture.mean
80,09/02/2019 13:00,0.408333333,0.0,203.1402778,104.3236111,2.084722222,2.893055556,91.26805556
81,10/02/2019 01:00,0.055555556,0.001388889,75.01527778,49.54166667,-0.440277778,2.923611111,96.54027778
82,10/02/2019 13:00,1.25,0.0,178.6611111,56.49583333,8.545833333,3.0,71.85211268
83,11/02/2019 01:00,1.180555556,0.154166667,109.4194444,9.063888889,5.905555556,2.820833333,85.44444444
84,11/02/2019 13:00,2.372222222,0.001388889,68.74861111,24.99444444,4.5375,2.0,82.47638889
85,12/02/2019 01:00,4.797222222,0.0,92.57083333,106.3236111,4.644444444,2.0,63.23888889
86,12/02/2019 13:00,4.566666667,0.0,129.2847222,70.38888889,4.261111111,2.0,59.38888889
87,13/02/2019 01:00,2.672222222,0.0,142.2056338,125.0347222,2.745833333,2.0,65.74722222
88,13/02/2019 13:00,0.891666667,0.0,120.5263889,76.95555556,3.305555556,2.0,75.73055556
89,14/02/2019 01:00,0.997222222,0.0,50.64722222,58.08888889,2.461111111,2.0,83.47083333
90,14/02/2019 13:00,2.283333333,0.0,109.1666667,90.2375,8.509722222,2.0,70.94722222
91,15/02/2019 01:00,0.633333333,0.0,238.3180556,41.81830986,5.494444444,2.0,82.39166667
92,15/02/2019 13:00,0.719444444,0.0,296.425,66.27777778,5.248611111,2.0,77.52916667
93,16/02/2019 01:00,0.247222222,0.001388889,92.36527778,135.9861111,0.279166667,2.0,89.29027778
94,16/02/2019 13:00,0.580555556,0.0,117.7597222,134.7833333,5.580555556,2.0,71.35972222
95,17/02/2019 01:00,0.272222222,0.0,76.93055556,146.0916667,0.405555556,2.0,87.31944444
96,17/02/2019 13:00,0.444444444,0.0,267.6930556,139.7472222,6.995833333,2.0,67.94583333
97,18/02/2019 01:00,0.183333333,0.001388889,75.62361111,145.0694444,1.059722222,2.0,86.09722222
98,18/02/2019 13:00,0.447222222,0.0,286.2375,138.9805556,8.209722222,2.0,62.71944444
