,Wind speed.mean,Wind direction.mean,u10,v10
92,0.247222222,92.36527778,0.71555287,-0.9189393
93,0.580555556,117.7597222,0.3254755,0.24417377
94,0.272222222,76.93055556,0.28789538,-0.252401
95,0.444444444,267.6930556,-0.6446792,0.20089686
96,0.183333333,75.62361111,-0.028071404,-0.22373462
97,0.447222222,286.2375,-1.0826241,0.3423791
98,0.255555556,242.7180556,-0.015474796,-0.0839169
99,1.375,57.95555556,1.5324479,-0.001986742
100,0.477777778,60.67083333,1.8309894,-0.99513626
101,0.508333333,265.5722222,-0.5382372,-1.6566811
102,0.280555556,258.2111111,-0.6121378,-1.26386
103,0.869444444,122.075,1.3281717,0.18998516
104,0.816666667,85.85138889,1.8347684,0.41191804
105,4.097222222,183.9777778,1.8773872,-5.050959
106,3.627777778,291.1736111,-3.1675854,-3.1022038
107,1.583333333,301.2069444,-3.2398062,-4.095168
108,0.413888889,148.5666667,-1.1840273,-1.5475641
109,0.758333333,261.5777778,-1.6190327,-1.8216512
110,0.286111111,277.1084507,0.3953871,-0.24999666
111,0.820833333,177.1486111,-2.6345358,-0.90414375
112,1.152777778,70.03055556,2.243321,-0.031947613
113,2.877777778,77.90833333,2.847332,-3.1099715
114,2.144444444,120.2319444,0.6953982,-2.76727
115,0.922222222,119.6736111,-0.46706593,-2.8671398
116,0.472222222,56.82222222,2.1708899,0.32924807
117,1.527777778,85.52222222,3.1725364,1.18258
118,0.436111111,36.55138889,2.4774094,-0.51890534
119,0.75,211.6430556,0.17809427,-0.35245574
120,0.738888889,64.79166667,0.99393964,-1.184334
121,0.522222222,271.8208333,0.05212748,-1.5159386
122,0.377777778,237.8708333,-0.38077867,0.4502015
123,0.933333333,204.9527778,2.0774646,0.7302067
124,1.202777778,131.9277778,2.0426137,1.1089721
125,2.883333333,98.82222222,3.592846,3.3763862
126,1.352777778,120.8097222,1.2133319,-3.7498777
127,0.902777778,176.3722222,-1.051762,1.1119313
128,0.697222222,143.3236111,2.452426,0.342564
129,0.863888889,239.7166667,-0.3824582,1.9288292
130,0.816666667,152.0708333,-0.15025926,2.2606187
131,3.552777778,132.5361111,1.163575,3.9550762
132,1.055555556,93.21111111,1.3363595,2.0092797
133,1.147222222,60.48055556,3.2411885,0.9060886
134,0.533333333,87.92083333,1.3735198,-1.3341386
135,2.702777778,91.08309859,3.2959838,1.5994437
136,2.547222222,112.1722222,3.7985916,1.0059583
137,4.486111111,89.65833333,5.4267135,1.9378912
138,2.063888889,152.9541667,2.7961054,0.6908138
139,0.897222222,167.0263889,-0.7040936,3.2363834
140,1.538888889,143.1763889,1.8473651,-1.667038
141,1.555555556,113.8291667,-1.3072649,-4.4918733
142,0.347222222,96.63333333,-0.031850457,2.0164926
143,1.016666667,169.4722222,-0.77043617,0.47479904
144,0.794444444,77.96805556,0.7970115,-1.0702236
145,0.727777778,163.9888889,1.798028,-0.82702214
146,1.769444444,90.94305556,1.8805363,1.9304936
147,1.122222222,44.41111111,2.2718735,-2.8027792
148,2.072222222,52.73055556,2.676017,0.74056363
149,0.966666667,257.1,-0.61318755,-1.0639354
150,1.127777778,124.2680556,1.6642933,1.093252
151,2.172222222,96.55555556,2.7992547,2.1561253
152,1.297222222,129.7083333,3.1129122,-0.05321622
153,2.130555556,94.3625,-0.7719058,-5.557891
154,0.752777778,91.35694444,0.19153082,-0.8312758
155,1.133333333,178.45,-2.2289224,-2.7783666
156,0.525,84.41666667,0.16234839,-0.9503798
157,0.916666667,276.5833333,-2.591917,-1.8490229
158,0.769444444,227.1138889,-0.43473446,-1.5078012
159,1.019444444,280.1492958,-2.2990441,-0.90950716
160,0.513888889,275.5097222,-0.29491127,-1.1356938
161,0.856944444,176.5708333,-1.417066,-1.06523
162,0.35,99.70138889,-0.09336424,-1.273662
163,1.011111111,253.8319444,-1.85837,-1.0837245
164,0.488888889,279.8819444,0.18775177,-0.41792583
165,0.722222222,146.1361111,-0.43872344,1.0889981
166,1.052777778,116.975,0.4312877,-0.5011507
167,3.502777778,233.7763889,-3.8803477,-1.2083768
168,1.594444444,134.5305556,1.5183816,-2.0909297
169,1.608333333,132.1430556,-1.6618615,-3.647049
170,0.855555556,71.19861111,0.9538402,-1.6082258
171,1.791666667,223.5736111,-1.869497,-3.5174031
172,0.847222222,79.11666667,-0.11540842,-1.3363581
173,1.394444444,290.8513889,-1.9387788,-2.3857305
174,0.9,105.3527778,0.24569649,-1.3108357
175,1.227777778,263.2944444,-1.7378615,-2.142714
176,0.627777778,78.87083333,0.3410114,-0.81148684
177,0.95,214.0944444,-1.1210438,-0.25499022
178,0.551515152,65.67121212,-0.6066792,-0.86401093
