,soil-temp,soil1,soil2,soil3,soil4
369,0.8,3.8958,1.4423,2.81436,7.25747
370,0.8,5.0268,1.66747,2.8162,7.25335
371,0.9,6.07144,1.96032,2.82104,7.24877
372,1.0,6.40814,2.2809,2.82742,7.2444
373,1.2,6.6562,2.59057,2.83624,7.23986
374,1.4,6.7736,2.84353,2.84716,7.2355
375,1.6,5.73818,2.9805,2.859,7.23116
376,1.8,4.69238,3.02755,2.87206,7.22726
377,1.8,4.27395,3.03176,2.88363,7.22222
378,1.8,4.0466,3.02166,2.8967,7.21835
379,1.7,3.8676,3.0137,2.90853,7.2131
380,1.6,3.85897,3.01074,2.9213,7.20965
381,1.6,4.20718,3.1847,2.93588,7.20577
382,1.6,4.42648,3.2179,2.94833,7.20052
383,1.6,4.28777,3.25863,2.9617,7.19686
384,1.6,4.41036,3.30108,2.97537,7.1925
385,1.6,4.78677,3.3469,2.98843,7.18792
386,1.6,4.98477,3.39227,3.0018,7.1836
387,1.7,4.83108,3.43932,3.01638,7.17993
388,1.7,5.12118,3.49185,3.03094,7.17626
389,1.8,5.31283,3.55023,3.04644,7.17123
390,1.8,5.57473,3.61663,3.0598,7.16735
391,1.9,5.85903,3.7015,3.0753,7.163
392,1.9,6.35864,3.8284,3.0914,7.1591
393,2.0,7.40154,4.08386,3.10995,7.15545
394,2.2,8.61886,4.31072,3.12908,7.1504
395,2.4,9.50118,4.5578,3.14944,7.1472
396,2.6,9.8569,4.80316,3.1719,7.14242
397,2.9,9.75158,5.0246,3.1956,7.1381
398,3.1,9.5864,5.20358,3.2199,7.13464
399,3.2,8.9124,5.33846,3.2451,7.13076
400,3.4,8.2793,5.43173,3.27032,7.1273
401,3.4,7.8338,5.491,3.29736,7.12298
402,3.4,7.73824,5.52377,3.3241,7.11932
403,3.4,7.56732,5.53427,3.34963,7.11544
404,3.4,7.52816,5.5334,3.37576,7.112
405,3.4,7.05966,5.60903,3.4031,7.10766
406,3.4,6.66598,5.57797,3.42892,7.104
407,3.4,6.4916,5.53216,3.45352,7.10034
408,3.4,6.49447,5.48385,3.4781,7.09554
409,3.3,5.98913,5.43133,3.50152,7.0921
410,3.3,5.7894,5.37417,3.5258,7.08868
411,3.3,5.27313,5.30947,3.5486,7.08502
412,3.3,5.00375,5.23342,3.56985,7.08227
413,3.2,4.58474,5.1431,3.5899,7.07815
414,3.2,4.32403,5.04644,3.61117,7.07495
415,3.2,3.95278,4.9481,3.6306,7.07153
416,3.1,3.58502,4.85568,3.64886,7.06786
417,3.0,3.63394,4.76956,3.66647,7.06533
418,2.9,3.66845,4.68426,3.68286,7.06167
419,2.8,3.83248,4.60946,3.69866,7.05825
420,2.8,4.10818,4.54644,3.71417,7.05483
421,2.8,4.11337,4.49392,3.72814,7.05117
422,2.9,4.13638,4.441,3.743,7.04772
423,3.0,3.61953,4.36242,3.75637,7.04476
424,3.0,3.32485,4.2418,3.76824,7.0411
425,3.1,2.99737,4.08343,3.77978,7.03768
426,3.0,2.5392,3.8914,3.78948,7.03402
427,2.9,2.32913,3.6742,3.7986,7.0322
428,2.8,2.40798,3.45065,3.80438,7.02874
429,2.7,1.8543,3.42336,3.8126,7.02416
430,2.6,2.0759,3.22756,3.81774,7.02142
431,2.5,2.08453,3.04226,3.8211,7.0178
432,2.4,2.10696,2.87042,3.8232,7.01434
433,2.3,2.08105,2.70822,3.8229,7.01205
434,2.2,2.26928,2.5574,3.8229,7.00863
435,2.1,2.3815,2.41537,3.8211,7.00497
436,2.0,2.13,2.28176,3.81866,7.0036
437,1.9,1.87213,2.15865,3.81442,6.99993
438,1.9,1.7622,2.04354,3.81045,6.9965
439,1.8,1.26895,1.93807,3.8053,6.99285
440,1.8,0.72793,1.8452,3.7989,6.98986
441,1.7,0.95355,1.9654,3.79617,6.98644
442,1.7,1.23498,1.97125,3.79193,6.98345
443,1.7,1.80364,2.01705,3.78616,6.9798
444,1.7,2.1202,2.09268,3.7828,6.97637
445,1.8,2.16796,2.16705,3.77947,6.97454
446,1.9,1.90032,2.2137,3.77612,6.97134
447,1.9,1.70004,2.20907,3.7731,6.96768
448,2.0,1.20794,2.15402,3.76882,6.96472
449,2.0,1.01974,2.08428,3.76428,6.96127
450,1.9,0.99038,2.0196,3.76125,6.9576
451,1.9,0.96505,1.95657,3.75637,6.9542
452,1.9,0.98345,1.89816,3.7512,6.95123
453,1.8,0.9334,1.83975,3.74514,6.94756
454,1.8,0.92822,1.783,3.73907,6.94482
455,1.8,0.81252,1.73092,3.7339,6.94116
456,1.7,0.80676,1.68218,3.72662,6.9377
457,1.7,0.6531,1.63638,3.71993,6.93566
458,1.7,0.63467,1.5944,3.71264,6.93246
459,1.6,0.49825,1.55447,3.70626,6.9288
460,1.6,0.57653,1.5179,3.69805,6.92513
461,1.6,0.51956,1.48556,3.69045,6.92217
462,1.6,0.40273,1.4553,3.68286,6.91873
463,1.5,0.21853,1.42925,3.67556,6.9151
464,1.5,0.3912,1.41287,3.66677,6.91235
465,1.5,0.61453,1.4158,3.65917,6.9087
466,1.5,1.38232,1.45657,3.65066,6.9057
467,1.5,2.02752,1.54437,3.64306,6.90203
468,1.6,2.4684,1.65865,3.6373,6.8986
469,1.8,2.61,1.77755,3.63183,6.89587
470,1.9,2.351,1.87505,3.62728,6.89312
471,2.1,2.04135,1.94018,3.6224,6.8897
472,2.2,1.3006,1.9641,3.61968,6.88604
473,2.2,0.90173,1.962,3.61694,6.8833
474,2.1,0.3964,1.93008,3.613,6.87963
475,2.0,0.22546,1.8847,3.60906,6.8762
476,1.9,0.36013,1.83346,3.60357,6.87255
477,1.8,0.5967,1.73974,3.59963,6.8689
478,1.8,0.79986,1.68722,3.59387,6.8659
479,1.6,1.0393,1.6347,3.5884,6.86224
480,1.6,0.9167,1.5847,3.5826,6.85858
481,1.6,1.05255,1.5343,3.57623,6.8563
482,1.4,1.0439,1.48428,3.57076,6.85333
483,1.4,1.00015,1.43386,3.56347,6.84966
484,1.4,1.12103,1.3822,3.55618,6.846
485,1.4,1.16995,1.328,3.5486,6.84234
486,1.4,0.66403,1.27294,3.5401,6.8396
487,1.3,0.38833,1.21957,3.53158,6.83572
488,1.2,-0.00074,1.17504,3.52398,6.8325
489,1.3,0.69567,1.33218,3.51852,6.82885
490,1.3,1.50436,1.3826,3.51092,6.82565
491,1.3,1.9176,1.47296,3.50454,6.82223
492,1.3,2.4569,1.58596,3.49877,6.81857
493,1.4,2.53,1.69814,3.4927,6.81582
494,1.5,2.27847,1.77587,3.48876,6.81307
495,1.6,1.79846,1.79815,3.48602,6.8094
496,1.6,1.05657,1.77252,3.48177,6.80575
497,1.6,0.7613,1.7347,3.4772,6.8021
498,1.6,0.65078,1.68975,3.47296,6.79913
499,1.5,0.61224,1.64648,3.4684,6.79547
500,1.5,0.62603,1.60278,3.46383,6.7918
501,1.4,0.36474,1.55404,3.45837,6.78814
502,1.4,0.45394,1.50656,3.4529,6.7854
503,1.4,0.36532,1.45825,3.44714,6.78173
504,1.3,0.35436,1.41158,3.44137,6.77807
505,1.3,0.18978,1.36453,3.43438,6.77557
506,1.2,0.0643,1.3179,3.4283,6.7726
507,1.2,-0.11414,1.2717,3.4207,6.7687
508,1.2,-0.1055,1.22714,3.41464,6.76504
509,1.1,-0.1901,1.18136,3.40704,6.76138
510,1.1,-0.26148,1.13976,3.39913,6.75842
511,1.1,-0.44968,1.09857,3.3903,6.75475
512,1.1,-0.60795,1.06454,3.38275,6.7511
513,1.1,-0.74265,1.00488,3.37484,6.74743
514,1.1,-0.67414,0.9826,3.36572,6.74377
515,1.1,-0.54062,0.96707,3.3569,6.74056
516,1.1,-0.33112,0.9557,3.34872,6.7369
517,1.1,-0.2137,0.95025,3.3396,6.7344
518,1.1,-0.18204,0.94647,3.33108,6.73074
519,1.2,-0.20563,0.9431,3.3223,6.72778
520,1.2,-0.35645,0.93682,3.31378,6.7241
521,1.2,-0.36854,0.9305,3.30526,6.72045
522,1.2,-0.34147,0.9221,3.29617,6.7168
523,1.1,-0.42667,0.9112,3.28704,6.7136
524,1.1,-0.43818,0.9011,3.27975,6.70992
525,1.1,-0.875,0.84985,3.27093,6.70626
526,1.1,-0.83817,0.83218,3.26183,6.7026
527,1.1,-0.6983,0.81622,3.25332,6.6994
528,1.0,-0.6471,0.80026,3.2445,6.69573
529,1.0,-0.8733,0.78472,3.2354,6.69232
530,1.0,-0.8618,0.77,3.22537,6.68957
