d2m,t2m,stl1,stl2,stl3,stl4,tcrw,date_full,,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,dew2m,temp2m,soil1,soil2,soil3,soil4
269.29028,276.09854,275.9977,275.49646,276.57343,282.09738,5.96E-08,02.01.2019 17:00:00,,2.2,73.6,2.1,1.7,0,-3.85972,2.94854,2.8477,2.34646,3.42343,8.94738
269.6756,275.90137,275.85498,275.4952,276.5804,282.09238,5.96E-08,02.01.2019 18:00:00,,1.5,80.5,1.6,1.7,0,-3.4744,2.75137,2.70498,2.3452,3.4304,8.94238
269.52405,275.33203,275.36,275.4725,276.5865,282.08643,5.96E-08,02.01.2019 19:00:00,,1,82.9,1,1.6,0,-3.62595,2.18203,2.21,2.3225,3.4365,8.93643
268.77383,274.82013,275.02847,275.42337,276.59348,282.0814,5.96E-08,02.01.2019 20:00:00,,0.7,82.2,0.6,1.6,0,-4.37617,1.67013,1.87847,2.27337,3.44348,8.9314
268.00858,274.38116,274.83624,275.35486,276.59836,282.07544,5.96E-08,02.01.2019 21:00:00,,1.2,74.9,1.1,1.6,0,-5.14142,1.23116,1.68624,2.20486,3.44836,8.92544
266.4399,273.81387,274.45636,275.3204,276.60504,282.0695,5.96E-08,02.01.2019 22:00:00,,1.3,70.7,1.3,1.5,0,-6.7101,0.66387,1.30636,2.1704,3.45504,8.9195
265.61392,273.49173,274.39075,275.23596,276.60806,282.06445,5.96E-08,02.01.2019 23:00:00,,1,70,1.1,1.4,0,-7.53608,0.34173,1.24075,2.08596,3.45806,8.91445
265.43066,273.27493,274.37924,275.15067,276.61322,282.0585,5.96E-08,03.01.2019 00:00:00,,0.4,70.5,0.4,1.4,0,-7.71934,0.12493,1.22924,2.00067,3.46322,8.9085
266.0981,273.02777,274.2768,275.06537,276.61627,282.05396,5.96E-08,03.01.2019 01:00:00,,-0.5,70.4,-0.6,1.4,0,-7.0519,-0.12223,1.1268,1.91537,3.46627,8.90396
265.72086,272.27206,273.62064,274.98007,276.61902,282.04755,5.96E-08,03.01.2019 02:00:00,,-1.1,71.7,-1.2,1.4,0,-7.42914,-0.87794,0.47064,1.83007,3.46902,8.89755
265.4758,272.15793,273.6782,274.89774,276.6199,282.04297,5.96E-08,03.01.2019 03:00:00,,-0.6,70.5,-0.3,1.3,0,-7.6742,-0.99207,0.5282,1.74774,3.4699,8.89297
265.1233,272.0512,273.67935,274.81622,276.62082,282.03656,5.96E-08,03.01.2019 04:00:00,,-2,85.7,-1.8,1.2,0,-8.0267,-1.0988,0.52935,1.66622,3.47082,8.88656
264.65466,271.95328,273.6874,274.73553,276.62143,282.03152,5.96E-08,03.01.2019 05:00:00,,-1,64.5,-0.8,1.2,0,-8.49534,-1.19672,0.5374,1.58553,3.47143,8.88152
264.1812,271.9756,273.63446,274.65823,276.62234,282.02536,5.96E-08,03.01.2019 06:00:00,,-1.3,64.3,-1.2,1.2,0,-8.9688,-1.1744,0.48446,1.50823,3.47234,8.87536
263.76633,272.0188,273.49,274.58218,276.62143,282.02054,5.96E-08,03.01.2019 07:00:00,,-1.1,59.9,-0.9,1.1,0,-9.38367,-1.1312,0.34,1.43218,3.47143,8.87054
263.79645,272.58337,273.54526,274.51202,276.6205,282.01437,5.96E-08,03.01.2019 08:00:00,,-1.6,61.5,-1.4,1.1,0,-9.35355,-0.56663,0.39526,1.36202,3.4705,8.86437
263.81955,273.44714,273.7467,274.44733,276.6187,282.00958,5.96E-08,03.01.2019 09:00:00,,-1,62.7,-0.7,1.1,0,-9.33045,0.29714,0.5967,1.29733,3.4687,8.85958
263.79053,274.21637,274.21634,274.50656,276.6178,282.0043,5.96E-08,03.01.2019 10:00:00,,0.5,60.1,3.4,1.1,0,-9.35947,1.06637,1.06634,1.35656,3.4678,8.8543
263.70346,274.4953,274.0857,274.48428,276.61658,281.99835,5.96E-08,03.01.2019 11:00:00,,0.5,55.7,1.8,1.1,0,-9.44654,1.3453,0.9357,1.33428,3.46658,8.84835
263.91306,274.90118,274.04483,274.4738,276.61536,281.99335,5.96E-08,03.01.2019 12:00:00,,1.5,55.4,3.6,1.1,0,-9.23694,1.75118,0.89483,1.3238,3.46536,8.84335
264.30804,274.94373,274.21118,274.4742,276.61414,281.98807,5.96E-08,03.01.2019 13:00:00,,1.4,58.1,2.4,1,0,-8.84196,1.79373,1.06118,1.3242,3.46414,8.83807
265.21143,274.5115,274.34067,274.4826,276.6129,281.98236,5.96E-08,03.01.2019 14:00:00,,1.4,56.1,1.9,1.1,0,-7.93857,1.3615,1.19067,1.3326,3.4629,8.83236
266.7887,273.4897,274.3683,274.4906,276.6105,281.97687,5.96E-08,03.01.2019 15:00:00,,0.3,69.6,0.6,1,0,-6.3613,0.3397,1.2183,1.3406,3.4605,8.82687
267.60284,273.1007,274.32227,274.48724,276.6096,281.9723,5.96E-08,03.01.2019 16:00:00,,0.4,67.5,0.6,1,0,-5.54716,-0.0493,1.17227,1.33724,3.4596,8.8223
268.39444,272.7637,273.9539,274.4784,276.60776,281.96634,5.96E-08,03.01.2019 17:00:00,,0.6,65.5,0.8,1,0,-4.75556,-0.3863,0.8039,1.3284,3.45776,8.81634
269.19733,272.3281,273.7392,274.46075,276.60654,281.9611,5.96E-08,03.01.2019 18:00:00,,-0.2,77.8,0,0.9,0,-3.95267,-0.8219,0.5892,1.31075,3.45654,8.8111
269.89862,271.8952,273.35934,274.4389,276.60474,281.95535,5.96E-08,03.01.2019 19:00:00,,-1.7,89.9,-1.4,0.9,0,-3.25138,-1.2548,0.20934,1.2889,3.45474,8.80535
269.04202,271.66357,273.1527,274.41327,276.602,281.95056,5.96E-08,03.01.2019 20:00:00,,-2.3,89.6,-2.1,0.9,0,-4.10798,-1.48643,0.0027,1.26327,3.452,8.80056
267.90594,271.56564,272.95703,274.38388,276.60077,281.9444,5.96E-08,03.01.2019 21:00:00,,-2.9,87.5,-2.9,0.9,0,-5.24406,-1.58436,-0.19297,1.23388,3.45077,8.7944
266.4281,271.09357,272.92825,274.3721,276.59805,281.94073,5.96E-08,03.01.2019 22:00:00,,-3.6,85.6,-3.5,0.9,0,-6.7219,-2.05643,-0.22175,1.2221,3.44805,8.79073
266.1841,270.6688,272.72565,274.3364,276.59592,281.93408,5.96E-08,03.01.2019 23:00:00,,-3.7,83.3,-3.7,0.9,0,-6.9659,-2.4812,-0.42435,1.1864,3.44592,8.78408
266.10403,270.54654,272.64795,274.29648,276.5929,281.92953,5.96E-08,04.01.2019 00:00:00,,-3.2,81.6,-3.1,0.9,0,-7.04597,-2.60346,-0.50205,1.14648,3.4429,8.77953
265.82675,270.36893,272.5737,274.25235,276.59015,281.92358,5.96E-08,04.01.2019 01:00:00,,-3.9,81.3,-3.9,0.9,0,-7.32325,-2.78107,-0.5763,1.10235,3.44015,8.77358
