,cdir,Global radiation.mean
1285,1550221.5,198.3847222
1287,1467952.9,184.7333333
1289,1492230.2,191.8083333
1291,1307566.2,40.84166667
1293,1443284.0,167.9416667
1295,1422256.8,173.5208333
1297,1413055.0,176.1972222
1299,1290337.2,44.45138889
1301,1192601.6,26.56527778
1303,1242095.9,49.32222222
1305,1339361.6,149.1041667
1307,1240960.4,29.91527778
1309,1220481.2,51.47777778
1311,1272951.5,133.5347222
1313,1265668.4,146.9125
1315,1289593.2,164.6902778
1317,1279960.6,158.8541667
1319,1252041.8,152.5625
1321,1249927.2,159.3958333
1323,1156107.4,149.3746479
1325,1042943.94,15.925
1327,982838.1,46.49027778
1329,1124781.9,101.2291667
1331,1083588.8,34.50833333
1333,1050148.8,105.2708333
1335,987536.9,44.16805556
1337,1013106.4,57.87638889
1339,1015690.75,97.61666667
1341,1026654.6,91.15833333
1343,975868.1,84.98888889
1345,960675.25,76.11388889
1347,845710.6,10.56388889
1349,827933.4,13.825
1351,922575.6,24.53333333
1353,938512.5,86.90972222
1355,953352.94,80.54027778
1357,892033.25,21.66666667
1359,869518.0,12.08611111
1361,873551.2,13.33333333
1363,835177.44,51.22638889
1365,845984.75,26.44444444
1367,832593.06,25.48472222
1369,810508.6,23.05972222
1371,775149.9,13.28055556
1373,779809.56,29.2084507
1375,781375.9,72.17222222
1377,788541.56,17.01805556
1379,706312.06,5.672222222
1381,837605.1,75.79722222
1383,783177.06,71.59166667
1385,767357.7,63.44861111
1387,778517.4,69.29166667
1389,768493.25,11.44166667
1391,766613.7,22.70277778
1393,707917.5,14.20138889
1395,671227.5,11.73611111
1397,740339.44,24.99027778
1399,729297.2,45.79722222
1401,752047.3,20.98611111
1403,676787.75,14.29027778
1405,639980.3,13.39166667
1407,656112.94,19.35694444
1409,684384.2,34.58055556
1411,677140.2,34.24444444
1413,676161.25,42.95972222
1415,668055.8,20.53888889
1417,643582.75,13.23888889
1419,660733.44,19.40833333
1421,650787.56,7.3625
1423,649887.0,8.088732394
1425,626432.0,26.44285714
1427,656974.4,
1429,678275.75,
1431,680664.3,51.39583333
1433,646167.06,23.6875
1435,636651.94,15.05762712
1437,641546.56,
1439,642799.56,
1441,617034.4,
1443,628703.1,26.14242424
1445,653802.7,60.39583333
1447,641272.44,18.63333333
1449,639980.3,8.079166667
1451,682935.4,27.09722222
1453,658853.94,20.93611111
1455,704432.56,14.30138889
1457,730432.75,65.27222222
1459,684697.44,16.02238806
