,rain,tcrw
181,0.0,0.001972437
182,0.0,0.000549316
183,0.0,0.000149846
184,0.0,5.96e-08
185,0.0,5.96e-08
186,0.0,5.96e-08
187,0.0,5.96e-08
188,0.0,5.96e-08
189,0.0,5.96e-08
190,0.0,5.96e-08
191,0.0,5.96e-08
192,0.0,5.96e-08
193,0.0,5.96e-08
194,0.0,5.96e-08
195,0.0,5.96e-08
196,0.0,5.96e-08
197,0.0,5.96e-08
198,0.0,5.96e-08
199,0.0,5.96e-08
200,0.0,5.96e-08
201,0.0,5.96e-08
202,0.0,5.96e-08
203,0.0,5.96e-08
204,0.0,5.96e-08
205,0.0,0.00017482
206,0.0,0.000973761
207,0.0,0.001173496
208,0.0,0.000449479
209,0.1,0.000124872
210,0.0,0.000124872
211,0.0,5.96e-08
212,0.0,5.96e-08
213,0.0,5.96e-08
214,0.0,5.96e-08
215,0.0,5.96e-08
216,0.0,5.96e-08
217,0.0,5.96e-08
218,0.0,5.96e-08
219,0.0,5.96e-08
220,0.0,5.96e-08
221,0.0,5.96e-08
222,0.0,5.96e-08
223,0.0,5.96e-08
224,0.0,5.96e-08
225,0.0,5.96e-08
226,0.1,5.96e-08
227,0.0,5.96e-08
228,0.1,5.96e-08
229,0.0,7.49e-05
230,0.0,2.5e-05
231,0.0,5.96e-08
232,0.0,5.96e-08
233,0.0,5.96e-08
234,0.0,5.96e-08
235,0.0,5.96e-08
236,0.0,5.96e-08
237,0.0,5.96e-08
238,0.0,5.96e-08
239,0.0,5.96e-08
240,0.0,5.96e-08
241,0.0,5.96e-08
242,0.0,5.96e-08
243,0.0,5.96e-08
244,0.0,5.96e-08
245,0.0,5.96e-08
246,0.0,5.96e-08
247,0.0,5.96e-08
248,0.0,5.96e-08
249,0.0,5.96e-08
250,0.0,5.96e-08
251,0.0,5.96e-08
252,0.0,5.96e-08
253,0.0,5.96e-08
254,0.0,5.96e-08
255,0.0,5.96e-08
256,0.0,5.96e-08
257,0.0,5.96e-08
258,0.0,5.96e-08
259,0.0,5.96e-08
260,0.0,5.96e-08
261,0.0,5.96e-08
262,0.0,5.96e-08
263,0.0,5.96e-08
264,0.0,5.96e-08
265,0.0,5.96e-08
266,0.0,5.96e-08
267,0.0,5.96e-08
268,0.0,5.96e-08
269,0.0,5.96e-08
270,0.0,5.96e-08
271,0.0,5.96e-08
272,0.0,5.96e-08
273,0.0,5.96e-08
274,0.0,5.96e-08
275,0.0,5.96e-08
276,0.0,5.96e-08
277,0.0,5.96e-08
278,0.0,5.96e-08
