u10,v10,dew2m,dw2m,temp2m,tmp2m,crr,max2mt,mx2t,msdrswrf,min2mt,mn2t,skt,sp,tcrw,temp-out,hi-temp,low-temp,out-hum,dew-pt,wind-speed,wind-dir,bar,rain,rain-rate
-0.9736531,-3.1607258,10.69268,283.84268,24.6325,297.7825,2.91E-11,24.89132,298.04132,228.19183,2.40E+01,297.1496,300.69678,100137.3,0,26.3,27.1,26.2,36,10,1.6,E,100390,0,0
-1.1748514,-3.4137151,10.5482,283.6982,23.95855,297.10855,2.91E-11,23.61633,296.76633,153.52487,2.32E+01,296.3707,298.44604,100119.88,0,24.7,26.3,24.7,40,10.2,1.6,E,100350,0,0
-0.97242045,-3.6432047,10.53774,283.68774,22.6255,295.7755,2.91E-11,22.99197,296.14197,79.367615,2.23E+01,295.48865,296.65375,100149.875,0,24,24.7,24,43,10.6,1.6,E,100330,0,0
-0.54619235,-3.3642678,10.27572,283.42572,22.0471,295.1971,2.91E-11,22.2107,295.3607,24.262207,2.16E+01,294.74335,294.57175,100143.63,0,23.6,24.1,23.5,45,10.9,1.6,NW,100320,0,0
-0.25870752,-2.6908536,10.42135,283.57135,21.0276,294.1776,2.91E-11,22.12206,295.27206,0.9967346,2.07E+01,293.84753,292.99545,100195.83,0,23.1,23.7,23.1,44,10.1,1.6,NW,100330,0,0
0.12903404,-2.1552558,11.0783,284.2283,19.0635,292.2135,2.91E-11,20.44656,293.59656,-3.05E-05,1.98E+01,292.92834,291.86102,100209.305,0,22.3,23.1,22.3,51,11.7,1.6,NW,100300,0,0
0.4461028,-2.32416,10.99136,284.14136,18.60717,291.75717,2.91E-11,19.62524,292.77524,-3.05E-05,1.91E+01,292.23303,291.5062,100237.43,0,20.3,22.3,20.3,55,10.9,0,NW,100360,0,0
0.5995011,-2.4449632,11.75424,284.90424,16.7978,289.9478,2.91E-11,18.98947,292.13947,-3.05E-05,1.84E+01,291.57162,290.93347,100242.805,0.000122264,20.3,20.3,20,56,11.2,0,NW,100380,0,0
0.3161252,-1.8798681,11.9946,285.1446,15.9073,289.0573,2.91E-11,18.28707,291.43707,-3.05E-05,1.71E+01,290.2573,290.71747,100234.64,0,18.9,20.3,18.9,63,11.7,0,NW,100360,0,0
0.61881286,-2.0601552,12.12435,285.27435,15.3489,288.4989,2.91E-11,16.91488,290.06488,-3.05E-05,1.63E+01,289.49417,289.62653,100243.95,0,16.3,18.9,16.2,76,12,0,NW,100390,0,0
