Wind speed.mean,Rainfall.mean,Wind direction.mean,Ground temperature.mean,Air temperature.mean,u10,v10,d2m,t2m,skt,tcrw,Air moisture.mean,cdir,Global radiation.mean,cdir_real
0.422222222,0.001388889,268.7444444,2.6,-0.504166667,-1.5515798,-0.91455543,272.0324,273.50223,272.13013,0,91.12222222,0,23.58055556,0
0.543055556,0,283.7847222,2.591666667,0.613888889,-1.7319645,0.08300936,272.48273,274.17587,276.21088,0.000119194,94.64027778,3337208,29.31111111,309.0007407
1.444444444,0.001388889,224.9152778,2.6,1.394444444,-1.093813,1.4202181,271.69196,273.21756,269.75146,0,93.93055556,0,64.00277778,0
1.127777778,0,231.0638889,2.665277778,5.444444444,-1.6544353,2.2351408,276.004,281.66577,283.0812,0.000245392,95.47638889,3400494.5,32.82361111,314.8606019
3.690277778,0,233.9625,2.9,8.347222222,-1.5767337,3.382275,278.03882,282.6994,278.77057,7.02E-06,92.2375,0,32.7125,0
2.4,0,242.1972222,3.341666667,11.45,-2.340827,3.8044147,280.59146,288.69443,288.58188,2.80E-05,86.56666667,3394707,53.63194444,314.3247222
1.920833333,0.140277778,216.9555556,3.863888889,8.416666667,-3.9460266,2.3999462,278.03882,283.82013,280.6702,0,92.77083333,0,12.93611111,0
1.290277778,0.094444444,157.2972222,4.231944444,6.229166667,0.03552933,1.282354,280.52298,283.31134,283.6621,0.04899992,95.69583333,3397978.2,23.37222222,314.6276111
3.847222222,0,50.95555556,4.4,3.8625,1.2522211,-4.17183,276.1597,277.5559,276.66516,0.00079225,93.25138889,0,54.725,0
1.751388889,0,42.83472222,4.393055556,4.380555556,0.3292789,-3.4226813,272.90448,278.70685,278.99564,0.000119194,86.76111111,3581421.5,56.17083333,331.6131019
1.480555556,0,41.57638889,4.4,2.366666667,-0.30335945,-1.6248721,272.27432,275.62198,274.77377,8.41E-05,98.53472222,0,18.93888889,0
3.377777778,0.001388889,38.56527778,4.4,2.736111111,-0.46186364,-2.4234443,273.88446,275.71832,276.60733,0.001808837,97.42083333,3437988.5,15.12222222,318.3322685
4.116666667,0,59.55555556,4.313888889,2.291666667,0.53430057,-1.9641445,273.7933,275.609,275.48203,0.001016602,93.87083333,0,62.52638889,0
1.488888889,0,55.73194444,4.302777778,2.452777778,0.63560545,-2.8292332,272.41425,278.56177,280.68878,0,88.25972222,3758951.2,95.80694444,348.051037
0.4125,0.002777778,106.1083333,4.197222222,-1.695833333,0.17869994,-1.6484687,269.41278,271.091,270.45764,0,94.06666667,0,113.9861111,0
1.230555556,0,248.5666667,3.901388889,2.184722222,-2.5882313,1.4014524,272.33984,278.3296,280.9627,0,87.1375,3922766.8,102.4805556,363.2191481
1.334722222,0.001388889,123.7402778,3.793055556,-1.733333333,-1.2979732,-0.8688484,270.12076,271.37195,270.31516,0,91.55,0,30.67638889,0
0.788888889,0.002777778,197.9111111,3.6,0.455555556,0.23469326,-0.79304165,273.275,276.08075,278.92886,0,94.43194444,3806510.5,34.35555556,352.4546759
2.240277778,0.002777778,215.725,3.498611111,-1.434722222,-0.24650471,1.0352389,270.99973,272.5198,272.91064,4.21E-05,91.24861111,0,40.57222222,0
1.458333333,0.002777778,239.6472222,3.406944444,1.370833333,-0.058539435,1.9664727,273.50015,277.0397,279.5091,0,94.19444444,3908046,80.82916667,361.8561111
0.945833333,0.001388889,238.7944444,3.3875,-0.177777778,-0.46806598,1.5175778,270.97855,272.74396,271.24915,0,93.84166667,0,33.09166667,0
3.847222222,0.001388889,211.1972222,3.330555556,7.208333333,-0.08972342,2.7362456,275.62317,281.55896,283.85965,0,89.42083333,3869671.5,51.05833333,358.3029167
4.191666667,0.166666667,162.8208333,3.577777778,6.066666667,0.63560545,3.695907,276.4903,281.9078,277.87787,0.000112176,91.07361111,0,11.38333333,0
5.497222222,0,71.34583333,3.827777778,4.886111111,2.4301484,-2.2450752,274.5407,277.03537,278.18622,0.004508078,94.05,3795690.2,20.59861111,351.4527963
10.02777778,0,44.74027778,3.9,4.281944444,2.6394773,-3.8752923,272.59753,277.57135,275.13513,4.21E-05,76.96666667,0,88.98333333,0
8.445833333,0,45.56111111,3.9,3.365277778,2.4499614,-7.099309,268.45398,279.27988,280.37012,8.41E-05,76.85,4104071.2,80.80972222,380.0065926
3.863888889,0,60.44166667,3.7875,1.25,1.876245,-3.2822156,269.8015,273.94,272.45224,0,87.53472222,0,120.6236111,0
2.004166667,0,77.65,3.622222222,4.181944444,-0.14933477,-2.9626384,269.22556,279.24222,281.4273,0,80.7625,4200951.5,92.44027778,388.9769907
1.836111111,0,107.4305556,3.7,3.823611111,2.9557965,0.6112412,271.724,275.10208,274.72903,0,90.55,0,60.00555556,0
2.744444444,0,67.97222222,3.833333333,6.7625,2.7991874,-2.8756835,274.41458,282.32648,283.60016,0.00014022,87.67361111,4104322.8,81.02916667,380.0298889
1.872222222,0,56.14722222,4.088888889,3.093055556,1.2258611,-2.180974,275.1684,277.65903,277.23917,0.00014022,97.90833333,0,31.99305556,0
1.458333333,0,292.8444444,4.065277778,4.6375,-2.0181334,-2.7233267,274.1899,281.69046,282.45764,0.001205891,85.525,4082682,84.83333333,378.0261111
0.3,0.001388889,106.7694444,4.083333333,1.979166667,0.9615727,-0.80270326,271.28403,273.1416,273.51562,0,90.84444444,0,128.1291667,0
0.441666667,0,225.8416667,4.004166667,5.958333333,0.6120021,0.8691329,274.02386,283.4978,285.78818,0,78.69583333,4281475,114.8097222,396.4328704
0.218055556,0.001388889,245.6347222,4.127777778,0.802777778,0.4495353,1.891595,270.99088,274.05548,271.3042,0,91.525,0,131.5180556,0
0.423611111,0,238.6041667,4.025,6.711111111,-0.4029414,0.8992326,273.5716,285.12854,286.06625,0,78.09027778,4395592.5,116.7861111,406.9993056
0.138888889,0.001388889,239.525,4.181944444,1.298611111,0.22986922,1.670492,271.44266,274.92795,270.94287,0,88.08333333,0,131.2416667,0
0.798611111,0,266.1930556,4.127777778,8.148611111,-1.1120753,0.8249123,274.3461,286.67654,287.49716,0,76.40138889,4471964.5,117.125,414.070787
0.334722222,0.002777778,235.2027778,4.318055556,1.961111111,-0.63983625,1.5850235,272.79312,275.47504,271.32278,0,88.71527778,0,136.3222222,0
