dateandtime,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,leaf-hum,rain
30.12.2019. 18:40:00,-1.6,88.1,-1.4,1.6,100,0
30.12.2019. 18:30:00,-1.6,88,-1.8,1.6,100,0
30.12.2019. 18:20:00,-1.7,88.6,-2.2,1.6,100,0
30.12.2019. 18:10:00,-2,89.2,-2.5,1.7,100,0
30.12.2019. 18:00:00,-2.2,88.8,-2.5,1.6,100,0
30.12.2019. 17:50:00,-1.9,88.4,-2.2,1.7,100,0
30.12.2019. 17:40:00,-1.6,88,-2.1,1.7,100,0
30.12.2019. 17:30:00,-1.6,87.3,-2.1,1.7,100,0
30.12.2019. 17:20:00,-1.6,86.7,-1.9,1.6,100,0
30.12.2019. 17:10:00,-1.4,86,-1.6,1.6,100,0
30.12.2019. 17:00:00,-1.2,85.1,-1.4,1.6,100,0
30.12.2019. 16:50:00,-1,84.9,-1.2,1.7,100,0
30.12.2019. 16:40:00,-0.9,86,-1.1,1.6,100,0
30.12.2019. 16:30:00,-0.5,84.5,-0.8,1.7,100,0
30.12.2019. 16:20:00,-0.1,79.4,-0.8,1.7,100,0
30.12.2019. 16:10:00,0.1,78.2,-0.4,1.7,100,0
30.12.2019. 16:00:00,0.7,77.9,0.2,1.7,100,0
30.12.2019. 15:50:00,1.3,75.8,0.9,1.7,100,0
30.12.2019. 15:40:00,1.6,72.9,1.5,1.7,100,0
30.12.2019. 15:30:00,1.7,72.5,1.7,1.7,100,0
30.12.2019. 15:20:00,2.1,72.6,2.4,1.7,100,0
30.12.2019. 15:10:00,2.1,71.4,2.7,1.7,0,0
30.12.2019. 15:00:00,2.4,69.9,2.6,1.7,0,0
30.12.2019. 14:50:00,2.2,70.9,3.8,1.7,0,0
30.12.2019. 14:40:00,2.4,70.3,3.7,1.7,0,0
30.12.2019. 14:30:00,2.5,70.5,4.1,1.7,0,0
30.12.2019. 14:20:00,2.6,69.6,5.4,1.7,0,0
30.12.2019. 14:10:00,2.5,69.4,6.8,1.7,0,0
30.12.2019. 14:00:00,2.5,67.7,6.4,1.7,0,0
30.12.2019. 13:50:00,2.5,69.2,6.2,1.7,0,0
30.12.2019. 13:40:00,2.6,70.3,6.6,1.8,0,0
30.12.2019. 13:30:00,2.3,69.1,6.1,1.7,0,0
30.12.2019. 13:20:00,2,69.6,3.2,1.8,0,0
30.12.2019. 13:10:00,2.3,70.2,3.8,1.8,0,0
30.12.2019. 13:00:00,2.1,70,6.2,1.8,0,0
30.12.2019. 12:50:00,1.8,71.5,8,1.8,0,0
30.12.2019. 12:40:00,1.8,71.5,7.2,1.8,0,0
30.12.2019. 12:30:00,1.6,71.9,7.2,1.8,0,0
30.12.2019. 12:20:00,1.5,72.2,6.5,1.8,0,0
30.12.2019. 12:10:00,1.5,72.1,4.9,1.8,0,0
30.12.2019. 12:00:00,1.3,73.4,4.6,1.8,0,0
30.12.2019. 11:50:00,1.3,75.2,2.8,1.8,0,0
30.12.2019. 11:40:00,1.3,74.6,3.4,1.8,0,0
30.12.2019. 11:30:00,1.2,74.4,6.3,1.8,0,0
30.12.2019. 11:20:00,1,74.7,6.4,1.8,100,0
30.12.2019. 11:10:00,1.1,74.1,5.4,1.8,100,0
30.12.2019. 11:00:00,0.6,77.9,6.1,1.8,100,0
30.12.2019. 10:50:00,0.5,77.5,6.7,1.8,100,0
30.12.2019. 10:40:00,0.8,79,7,1.8,100,0
30.12.2019. 10:30:00,0.1,79.8,5.5,1.8,100,0
30.12.2019. 10:20:00,-0.2,80.3,5.4,1.8,100,0
30.12.2019. 10:10:00,-0.2,80.9,4.9,1.8,100,0
30.12.2019. 10:00:00,-0.6,81.9,4.4,1.8,100,0
30.12.2019. 9:50:00,-1.4,82.8,3.1,1.8,100,0
30.12.2019. 9:40:00,-1.4,82.9,3.3,1.8,100,0
30.12.2019. 9:30:00,-1.6,82.3,3.8,1.8,100,0
30.12.2019. 9:20:00,-1.8,83,2.9,1.8,100,0
30.12.2019. 9:10:00,-2.4,83.6,1,1.8,100,0
30.12.2019. 9:00:00,-2.3,82.9,-1.3,1.8,100,0
30.12.2019. 8:50:00,-2.8,85.6,-1.7,1.8,100,0
30.12.2019. 8:40:00,-3.4,88.1,-1.6,1.8,100,0
30.12.2019. 8:30:00,-3.5,89.1,-2.6,1.9,100,0
30.12.2019. 8:20:00,-4,90.1,-3.4,1.9,100,0
30.12.2019. 8:10:00,-4.6,90.3,-4.5,1.9,100,0
30.12.2019. 8:00:00,-5,90.6,-5,1.9,100,0
30.12.2019. 7:50:00,-5.2,90.7,-5.2,1.9,100,0
30.12.2019. 7:40:00,-5.3,90.9,-5.5,1.9,100,0
30.12.2019. 7:30:00,-5.7,90.7,-6.1,1.9,100,0
30.12.2019. 7:20:00,-5.3,90.6,-5.8,1.9,100,0
30.12.2019. 7:10:00,-5.1,90.5,-5.4,1.9,100,0
30.12.2019. 7:00:00,-5,90.6,-5.3,1.9,100,0
30.12.2019. 6:50:00,-5.1,90.5,-5.3,1.9,100,0
30.12.2019. 6:40:00,-4.9,90.4,-5.2,1.9,100,0
30.12.2019. 6:30:00,-4.8,90.5,-5.1,1.9,100,0
30.12.2019. 6:20:00,-4.6,90.2,-5,1.9,100,0
30.12.2019. 6:10:00,-4.6,89.9,-4.9,1.9,100,0
30.12.2019. 6:00:00,-4.3,89.7,-4.8,1.9,100,0
30.12.2019. 5:50:00,-4.2,89.3,-4.8,1.9,100,0
30.12.2019. 5:40:00,-4.1,88.7,-4.7,1.9,100,0
30.12.2019. 5:30:00,-4.2,87.8,-4.6,1.9,100,0
30.12.2019. 5:20:00,-4,87.8,-4.6,1.9,100,0
